#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTDESC_ancrel_0053;In honor of the gods, your liege produces a Skræling from deep within [From.GetHerHis] dungeons. [FromFrom.GetTitledFirstName] is brought to the grove for the sacrifice, and everyone agrees that this is a most worthy sacrifice.;En l'honneur de son blót, votre seigneur sort un Skræling de la profondeur de ses cachots. [FromFrom.GetTitledFirstName] est traîné au temple pour le sacrifice et tous s'accordent pour dire que c'est un sacrifice des plus valables.;Zu Ehren der Götter bringt Euer Lehnsherr einen Skræling aus den Tiefen der Kerker von [From.GetHerHis] hervor. [From.GetTitledFirstName] wird für die Opferung in den Hain gebracht, und alle sind sich einig, dass dies ein höchst würdiges Opfer ist.;;En honor a esta mancha, tu señor saca a la luz a un Skraeling de las profundidades de [From.GetHerHis] mazmorras. [FromFrom.GetTitledFirstName] es traído al templo para su sacrificio, y todo el mundo está de acuerdo en que es el sacrificio más merecido.;;;;;;;;;x
EVTDESC_ancrel_0054;As you have no prisoners languishing in your dungeons that are suitable for sacrifice, you are forced to make do with some randomly purchased slaves. They are brought to the big oak inside the grove, and soon their limp and lifeless bodies are lying on the ground.;Comme vous n'avez aucun prisonnier qui se languit dans vos cachots qui soit assez valable pour un sacrifice pour votre blót, vous devez  choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da ihr keine Gefangenen in euren Kerkern habt, die sich für die Opferung eignen, seid ihr gezwungen, mit einigen zufällig gekauften Sklaven auszukommen. Sie werden zu der großen Eiche im Hain gebracht, und schon bald liegen ihre schlaffen und leblosen Körper auf dem Boden.;;Como no tienes prisioneros languideciendo en tus mazmorras que sean adecuados para sacrificar en la mancha, te ves obligado a conformarte con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTOPTA_ancrel_0054;It is better than nothing.;C'est mieux que rien.;Das ist besser als nichts.;;Es mejor que nada.;;;;;;;;;x
EVTDESC_ancrel_0055;As [From.GetTitledFirstName] had no prisoners languishing in [From.GetHerHis] dungeons that were suitable for sacrifice, your liege was forced to make do with some randomly purchased slaves. They are brought to the big oak inside the grove, and soon their limp and lifeless bodies are lying on the ground.;Comme [From.GetTitledFirstName] n'avait aucun prisonnier qui se languissait dans ses cachots qui soit assez valable pour un sacrifice pour votre blót, votre seigneur a eu à choisir parmi quelques esclaves achetés au hasard. On les amène sous le grand chêne près du temple et, en peu de temps, leurs corps sans vie se balancent à ses fortes branches.;Da [From.GetTitledFirstName] keine Gefangenen in den Kerkern von [From.GetHerHis] hatte, die für eine Opferung geeignet gewesen wären, war Euer Herr gezwungen, sich mit ein paar zufällig gekauften Sklaven zu begnügen. Sie werden zu der großen Eiche im Hain gebracht, und schon bald liegen ihre schlaffen und leblosen Körper auf dem Boden.;;Como [From.GetTitledFirstName] no tiene prisioneros languideciendo en [From.GetHerHis] mazmorras que sean adecuados para el sacrificio en la mancha, tu señor se ve obligado a conformarse con esclavos comprados al azar. Son llevados al gran roble fuera del templo, y pronto sus cuerpos cuelgan flácidos y sin vida de sus gruesas ramas.;;;;;;;;;x
EVTOPTA_ancrel_0055;Better than nothing, I suppose.;C'est probablement mieux que rien.;Besser als nichts, nehme ich an.;;Mejor que nada, supongo.;;;;;;;;;x
EVTTOOLTIP_ancrel_0057;Execution is stayed.;L'exécution est suspendue.;Die Hinrichtung wird ausgesetzt.;;La ejecución es aplazada.;;;;;;;;;x
EVTDESC_ancrel_0057;As you stand trembling with a knife pressed against your neck, [From.GetTitledFirstName] suddenly seems to have had a change of mind. The knife is removed and you are brought back to the dungeon. It looks like you will live to see another day.;Alors que vous avez la corde au cou, tremblotant, [From.GetTitledFirstName] paraît soudainement avoir changé d'idée. La corde est enlevée et on vous conduit au cachot. Il semble qu'il vous reste un autre jour à vivre.;Während du zitternd mit einem Messer am Hals dastehst, scheint [From.GetTitledFirstName] plötzlich seine Meinung geändert zu haben. Das Messer wird entfernt und Ihr werdet zurück in den Kerker gebracht. Es sieht so aus, als würdet Ihr einen weiteren Tag erleben.;;Mientras estás temblando con la soga alrededor de tu cuello, [From.GetTitledFirstName] de repente parece cambiar de idea. Te quitan la soga y te devuelven a las mazmorras. Parece que vivirás para ver otro día.;;;;;;;;;x
EVTOPTA_ancrel_0057;I... how... what?;Je... comment... quoi ?;Ich ... wie ... was?;;Yo… cómo… qué?;;;;;;;;;x
EVTDESC_ancrel_0060;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the glory which awaits our grand dynasty.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt. Die ganze Versammlung ist aufmerksam, während die Druiden den Ruhm besingen, der unserer großen Dynastie bevorsteht.;;;;;;;;;;;x
EVTOPTA_ancrel_0060;Glory to the Gods!;;Ruhm den Göttern!;;;;;;;;;;;x
EVTDESC_ancrel_0061;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of a great victory which awaits our armies.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden von einem großen Sieg singen, der unsere Armeen erwartet.;;;;;;;;;;;x
EVTOPTA_ancrel_0061;Glory to the Gods!;;Ehre sei den Göttern!;;;;;;;;;;;x
EVTDESC_ancrel_0062;The ceremony is over. It will be at least five years until you hold the next one, but as your vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que vous teniez le prochain. Néanmoins, alors que vos vassaux reprennent la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Zeremonie ist zu Ende. Es wird mindestens fünf Jahre dauern, bis ihr die nächste abhaltet, aber während eure Vasallen nach Hause zurückkehren, scheinen die meisten der Meinung zu sein, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que celebres la siguiente, pero mientras tus vasallos regresan a casa, la mayoría está de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTOPTA_ancrel_0062;Until next time!;À la prochaine fois !;Bis zum nächsten Mal!;;¡Hasta la próxima!;;;;;;;;;x
EVTDESC_ancrel_0063;The ceremony is over. It will be at least five years until your liege holds the next one, but as you and the other vassals return home, most seem to agree that the ceremony was well worth the trip.;Le banquet est terminé, et le blót par le fait même. Il s'écoulera neuf années avant que votre seigneur organise le prochain, néanmoins, alors que vous et les autres vassaux reprenez la route, la plupart s'accordent pour dire que la cérémonie valait le déplacement.;Die Zeremonie ist vorbei. Es wird mindestens fünf Jahre dauern, bis dein Lehnsherr die nächste abhält, aber während du und die anderen Vasallen nach Hause zurückkehren, scheinen die meisten der Meinung zu sein, dass die Zeremonie die Reise wert war.;;La fiesta se acaba, y con ella la mancha. Pasarán por lo menos 9 años hasta que tu señor celebre la siguiente, pero mientras tú y tus vasallos regresáis a casa, la mayoría estáis de acuerdo en que valió la pena hacer el viaje por la ceremonia.;;;;;;;;;x
EVTDESC_ancrel_0064;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the wealth and knowledge we will attain.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, und die ganze Versammlung hört aufmerksam zu, während die Druiden den Reichtum und das Wissen besingen, das wir erlangen werden.;;;;;;;;;;;x
EVTOPTA_ancrel_0064;Glory to the Gods!;;Ehre sei den Göttern!;;;;;;;;;;;x
EVTDESC_ancrel_0065;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of a loss that will affect us deeply.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden vor einem Verlust warnen, der uns tief treffen wird.;;;;;;;;;;;x
EVTOPTA_ancrel_0065;Woe to me!;;Wehe mir!;;;;;;;;;;;x
EVTDESC_ancrel_0066;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of the disappointment of the gods with our dynasty.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden vor der Enttäuschung der Götter über unsere Dynastie warnen.;;;;;;;;;;;x
EVTOPTA_ancrel_0066;Woe to me!;;Wehe mir!;;;;;;;;;;;x
EVTDESC_ancrel_0067;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the glory which awaits our lords dynasty.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden den Ruhm besingen, der unsere Herrscherdynastie erwartet.;;;;;;;;;;;x
EVTOPTA_ancrel_0067;Glory to the Gods!;;Ruhm für die Götter!;;;;;;;;;;;x
EVTDESC_ancrel_0068;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of a great victory which awaits our armies.;;Die Druiden haben die Botschaften der Götter in den Opfern, die wir brachten, erahnt, die ganze Versammlung ist aufmerksam, während die Druiden von einem großen Sieg singen, der unsere Armeen erwartet.;;;;;;;;;;;x
EVTOPTA_ancrel_0068;Glory to the Gods!;;Ehre sei den Göttern!;;;;;;;;;;;x
EVTDESC_ancrel_0069;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids sing of the wealth and knowledge our lord will attain.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden vom Reichtum und Wissen singen, das unser Herr erlangen wird.;;;;;;;;;;;x
EVTOPTA_ancrel_0069;Glory to the Gods!;;Ehre sei den Göttern!;;;;;;;;;;;x
EVTDESC_ancrel_0070;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn our lord that he will lose something dear to him.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt, die ganze Versammlung ist aufmerksam, während die Druiden unseren Herrn warnen, dass er etwas verlieren wird, das ihm lieb und teuer ist.;;;;;;;;;;;x
EVTOPTA_ancrel_0070;The Gods are angry;;Die Götter sind zornig;;;;;;;;;;;x
EVTDESC_ancrel_0071;The druids have divined the messages of the gods in the sacrifices we made, the whole assembly is attentive while the druids warn of the disappointment of the gods with our lord.;;Die Druiden haben die Botschaften der Götter in den von uns dargebrachten Opfern erahnt. Die ganze Versammlung ist aufmerksam, während die Druiden vor der Enttäuschung der Götter über unseren Herrn warnen.;;;;;;;;;;;x
EVTOPTA_ancrel_0071;The Gods are angry;;Die Götter sind zornig;;;;;;;;;;;x
opinion_held_divination;Held divination;Blót tenu;Gehaltene Weissagung;;Mancha Realizada;;;;;;;;;x
opinion_held_bad_divination;Angered the gods;Blót tenu;Verärgert die Götter;;Mancha Realizada;;;;;;;;;x
EVTDESC_ancrel_0100;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. When [From.GetSheHe] sees the druid circling around [From.GetHerHim] balancing a knife in hist hand righ, [From.GetSheHe] pushes the nearest guard aside and makes a desperate run for it, but to no avail. Your men drag [From.GetHerHim] kicking and screaming back to the middle of the grove.;On sort [From.GetTitledFirstName] des oubliettes pour l'emmener au temple. Lorsqu'[From.GetSheHe] voit la corde qu'on allait lui placer autour du cou, [From.GetSheHe] pousse le garde le plus proche et tente de s'échapper en courant, mais en vain. C'est en se débattant et en criant qu'[From.GetSheHe] est ramené(e) au temple.;[From.GetTitledFirstName] wird aus euren Kerkern geholt und in den Hain geführt. Als [From.GetSheHe] sieht, wie der Druide um [From.GetHerHim] kreist und ein Messer in der rechten Hand balanciert, stößt [From.GetSheHe] die nächste Wache beiseite und versucht verzweifelt zu fliehen, doch ohne Erfolg. Eure Männer zerren [From.GetHerHim] schreiend und tretend zurück in die Mitte des Hains.;;Traen a [From.GetTitledFirstName] de tus mazmorras y lo escoltan al templo. Cuando [From.GetSheHe] ve la soga que cuelga a punto de ser colocada alrededor de [From.GetHerHis] cuello, [From.GetSheHe] empuja al guardia más cercano y corre desesperadamente, pero en vano. Tus hombres arrastran a [From.GetHerHim] de vuelta al templo pataleando y gritando.;;;;;;;;;x
EVTDESC_ancrel_0101;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. Even as the druid approaches [From.GetHerHim], [From.GetFirstName] stares vacantly ahead without betraying any emotion whatsoever. It would seem [From.GetSheHe] has accepted [From.GetHerHis] fate.;On sort [From.GetTitledFirstName] des oubliettes pour l'emmener au temple. Même avec la corde au cou, [From.GetFirstName] reste de marbre, les yeux dans le vide, ne trahissant aucune émotion. Il semble qu'[From.GetSheHe] ait accepté son destin.;[From.GetTitledFirstName] wird aus Euren Kerkern geholt und in den Hain eskortiert. Selbst als der Druide sich [From.GetHerHim] nähert, starrt [From.GetFirstName] leer vor sich hin, ohne irgendeine Emotion zu verraten. Es scheint, dass [From.GetSheHe] sein Schicksal akzeptiert hat.;;Traen a [From.GetTitledFirstName] de tus mazmorras y lo escoltan al templo. Incluso cuando colocan la soga alrededor de [From.GetHerHis] cuello, [From.GetFirstName] mira distraídamente sin mostrar ninguna emoción en absoluto. Parecería que [From.GetSheHe] ha aceptado [From.GetHerHis] destino.;;;;;;;;;x
EVTDESC_ancrel_0102;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the grove. As soon as [From.GetSheHe] spots you among those gathered nearby, [From.GetSheHe] hurls insults and spittle your way, stopping only when [From.GetHerHis] head is severed from [From.GetHerHis] neck. The hatred in [From.GetHerHis] eyes could be mistaken.;On sort [From.GetTitledFirstName] des oubliettes pour l'emmener au temple. Aussitôt qu'[From.GetSheHe] vous aperçoit parmi les curieux, [From.GetSheHe] vous lance des insultes et crache dans votre direction, même avec la corde au cou, [From.GetSheHe] continue. La haine dans ses yeux est incontestable.;[From.GetTitledFirstName] wird aus Euren Kerkern geholt und zum Hain eskortiert. Sobald [From.GetSheHe] dich unter den in der Nähe Versammelten entdeckt, schleudert [From.GetSheHe] Beleidigungen und Spucke in deine Richtung und hört erst auf, als [From.GetHerHis] Kopf von [From.GetHerHis] Hals abgetrennt ist. Der Hass in [From.GetHerHis] Augen könnte falsch verstanden werden.;;Traen a [From.GetTitledFirstName] de tus mazmorras y lo escoltan al templo. Tan pronto como [From.GetSheHe] te ve cerca entre los reunidos, [From.GetSheHe] lanza insultos y te escupe, continuando hasta que le colocan la soga alrededor de [From.GetHerHis] cuello. El odio en [From.GetHerHis] ojos no se puede confundir.;;;;;;;;;x
###Reincarnation;;;;;;;;;;;;;;x
EVTDESC_ancrel_0271;After mourning the death of the person in the Otherworld which made this new birth possible, you notice your little [GetFromRelation] [From.GetFirstName] has an odd birthmark that closely matches that of my [GetFromReincarnationRelation], [From.Reincarnation.GetBestName]. Could [From.Reincarnation.GetSubjectPronoun] have been reborn as my [GetFromRelation] in this life ?;;Nachdem Sie den Tod der Person in der Anderswelt betrauert haben, die diese neue Geburt möglich gemacht hat, stellen Sie fest, dass Ihr kleiner [GetFromRelation] [From.GetFirstName] ein seltsames Muttermal hat, das dem meines [GetFromReincarnationRelation], [From.Reincarnation.GetBestName], sehr ähnlich ist. Könnte [From.Reincarnation.GetSubjectPronoun] in diesem Leben als mein [GetFromRelation] wiedergeboren worden sein?;;;;;;;;;;;x
EVTOPTA_ancrel_0271;Yes, clearly this is a sign of the Gods;;Ja, dies ist eindeutig ein Zeichen der Götter;;;;;;;;;;;x
EVTOPTB_ancrel_0271;No, this is merely a coincidence;;Nein, dies ist lediglich ein Zufall;;;;;;;;;;;x
###Holy Orders;;;;;;;;;;;;;;x
EVTNAME_ancrel_0110;The Sons of Gwydion;;Die Söhne von Gwydion;;;;;;;;;;;x
EVTDESC_ancrel_0110;You have decided to found the Sons of Gwydion, a sacred order of warriors loyal only to the Druids and their Circle, dressed in wolf skins over mail and venerating the famed trickster Gwydion.\n\nThis new Order will not only form a powerful shock force against Britain's many enemies, but will also channel the fiery spirits of the younger, restless sons of Britain.;;Ihr habt beschlossen, die Söhne Gwydions zu gründen, einen heiligen Orden von Kriegern, die nur den Druiden und ihrem Zirkel gegenüber loyal sind, die in Wolfsfelle gekleidet sind und den berühmten Trickster Gwydion verehren. Dieser neue Orden wird nicht nur eine mächtige Stoßtruppe gegen die vielen Feinde Britanniens bilden, sondern auch die feurigen Geister der jüngeren, ruhelosen Söhne Britanniens kanalisieren.;;;;;;;;;;;x
EVTOPTA_ancrel_0110;Go my wolflings.;;Los, meine Wölflinge.;;;;;;;;;;;x
EVTDESC_ancrel_0111;[From.GetFirstName], the great king of the Celts, is distraught over the ravages braught over by our landless sons. Knowing well their need for battle, he has decided to form a sacred band of brothers consisting solely of celtic warriors.\n\nThose who serve him and the Druids are generously rewarded, and even now many of our young men, eager for riches and adventure, have departed for his court to take up and honor Gwydion's old name.;[From.GetFirstName], le grand roi des Grecs, est angoissé par le peu de courage de ses compatriotes. Connaissant bien notre aptitude au combat, il a décidé de composer son équipe de gardes du corps uniquement de guerriers nordiques.\n\nCeux qui le servent dans la grande cité de Miklagård sont généreusement récompensés et, aujourd'hui encore, les jeunes hommes avides de richesse et d'aventure quittent pour la Grèce afin de le servir.;[From.GetFirstName], der große König der Kelten, ist verzweifelt über die Verwüstungen, die unsere landlosen Söhne anrichten. Da er weiß, dass sie den Kampf brauchen, hat er beschlossen, eine heilige Bruderschaft zu gründen, die nur aus keltischen Kriegern besteht. Wer ihm und den Druiden dient, wird großzügig belohnt, und schon jetzt sind viele unserer jungen Männer, die sich nach Reichtum und Abenteuern sehnen, zu seinem Hof aufgebrochen, um den alten Namen Gwydions anzunehmen und zu ehren.;;[From.GetFirstName], el gran rey de los Griegos, está perturbado por el poco ánimo de sus compatriotas. Conociendo bien nuestra habilidad en la batalla, ha decidido formar una guardia que consiste únicamente de guerreros Nórdicos.\n\nAquellos que le sirven en la gran ciudad de Miklagård son generosamente recompensados, e incluso ahora muchos de nuestros jóvenes, ávidos de riquezas y aventura, han partido hacia Grecia para levantar su estandarte.;;;;;;;;;x
EVTOPTA_ancrel_0111;May they find the excitement they yearn.;Puissent-ils trouver l'action à laquelle ils aspirent.;Mögen sie die Aufregung finden, nach der sie sich sehnen.;;Espero que encuentren la emoción que anhelan.;;;;;;;;;x
EVTDESC_ancrel_0120;Your son, [From.GetTitledFirstName], has decided to join with the Sons of Gwydion and seek his fortune at their side! Although he will no doubt gain both riches and valuable battle experience in service of the druids, there will be many perils that could well cost him his life.;Votre fils, [From.GetTitledFirstName], a décidé de s'enrôler dans la Garde varègue à Miklagård et d'y chercher fortune ! Même si le fait d'être au service du roi grec va sans doute l'enrichir d'une importante expérience de combat, de nombreux dangers pourront lui coûter la vie.;Euer Sohn, [From.GetTitledFirstName], hat beschlossen, sich den Söhnen Gwydions anzuschließen und sein Glück an ihrer Seite zu suchen! Obwohl er im Dienst der Druiden zweifellos sowohl Reichtümer als auch wertvolle Kampferfahrungen sammeln wird, wird es viele Gefahren geben, die ihn durchaus das Leben kosten könnten.;;¡Tu hijo, [From.GetTitledFirstName], ha decidido alistarse con la Guardia Varangian en Miklagård y buscar fortuna allí! Aunque, sin duda, obtendrá riquezas y valiosa experiencia en batalla al servicio del rey Griego, habrá muchos peligros que bien podrían costarle la vida.;;;;;;;;;x
EVTOPTA_ancrel_0120;I will not allow it!;Je ne permettrai pas !;Das werde ich nicht zulassen!;;¡No lo permitiré!;;;;;;;;;x
EVTOPTB_ancrel_0120;Go to the Circle and make me proud, son.;Fils, va à Miklagård et fais-moi honneur.;Geh zum Zirkel und mach mich stolz, mein Sohn.;;Vete a Miklagård y hazme sentirme orgulloso, hijo.;;;;;;;;;x
EVTDESC_ancrel_0125;A heavily scarred warrior clad in strange Ogham inscribed armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from the sons of Gwydion!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu de Grèce !;Ein schwer vernarbter Krieger in einer seltsamen, mit Ogham beschrifteten Rüstung nähert sich deinem Thron, und bevor er entwaffnet werden kann, nimmt der Fremde deiner Wache mit einer schnellen, fließenden Bewegung den Speer ab und wirft ihn zur Seite. Andere Wachen eilen nach vorne, aber ihr hebt die Hand, um sie aufzuhalten. Der Fremde ist [From.GetTitledFirstName], endlich zurückgekehrt von den Söhnen Gwydions!;;Un guerrero con grandes cicatrices y vestido con una extraña armadura se acerca a tu trono, y antes de que pueda ser desarmado, el desconocido se quita de encima a la guardia con un movimiento rápido y fluido de su lanza, y la arroja a un lado. Otros guardias se apresuran hacia él, pero levantas la mano para detenerlos. ¡El desconocido es [From.GetTitledFirstName], por fin ha regresado de Grecia!;;;;;;;;;x
EVTOPTA_ancrel_0125;[From.GetFirstName]! You've... changed!;[From.GetFirstName] ! Tu as... changé !;[From.GetFirstName]! Ihr habt Euch ... verändert!;;¡[From.GetFirstName]! ¡Has… cambiado!;;;;;;;;;x
EVTDESC_ancrel_0129;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a caravan coming from the Circle. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de Miklagård. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;Ein gebrechlicher, gewandeter Mann wird in Euren Thronsaal geführt, und Eure Wachen erklären, dass er gerade mit einer Karawane aus dem Zirkel gekommen ist. Der Mann würde nur immer wieder deinen Namen sprechen, und so wurde er zu dir gebracht. Zu deinem Entsetzen erkennst du ihn schließlich als [From.GetTitledFirstName]!;;Un hombre frágil vestido con túnica es conducido a tu sala del trono, y tus guardias explican que acaba de llegar en un barco procedente de Miklagård. El hombre sólo dice tu nombre una y otra vez, y por eso lo han llevado a ti. Para tu horror, ¡lo reconoces por fin como [From.GetTitledFirstName]!;;;;;;;;;x
EVTOPTA_ancrel_0129;[From.GetFirstName], what have they done to you?!;[From.GetFirstName], qu'est-ce qu'ils t'ont fait ?!;[From.GetFirstName], was haben sie dir angetan?;;[From.GetFirstName], ¡¿ Qué te han hecho?!;;;;;;;;;x
EVTDESC_ancrel_0131;[From.GetTitledFirstName] has finally returned home after a long and successful time with the Sons of Gwydion! He fought in several battles, and learned much from the clever strategies and tactics favored by the band in their raids.;[From.GetTitledFirstName] est finalement de retour au bercail après une fructueuse et longue carrière dans la Garde varègue ! Il a pris part à plusieurs batailles et a beaucoup appris sur les adroites stratégies et les tactiques utilisées par les Grecs et leurs ennemis au Serkland.  ;[From.GetTitledFirstName] ist nach einer langen und erfolgreichen Zeit bei den Söhnen von Gwydion endlich nach Hause zurückgekehrt! Er hat in mehreren Schlachten gekämpft und viel von den klugen Strategien und Taktiken gelernt, die die Bande bei ihren Raubzügen anwendet.;;¡[From.GetTitledFirstName] por fin ha vuelto a casa después de una larga y exitosa carrera en la Guardia Varangiana! Luchó en varias batallas, y aprendió mucho de las inteligentes estrategias y las tácticas preferidas tanto por los griegos como por sus enemigos en Serkland.;;;;;;;;;x
EVTOPTA_ancrel_0131;Tell me of your battles, [From.GetFirstName]...;Raconte-moi tes exploits, [From.GetFirstName]...;Erzählt mir von Euren Schlachten, [From.GetFirstName]...;;Cuéntame de tus batallas, [From.GetFirstName]...;;;;;;;;;x
EVTDESC_ancrel_0133;[From.GetTitledFirstName] has returned from the Circle and the Sons of Gwydion, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour de Grèce et de la Garde varègue, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;[From.GetTitledFirstName] ist vom Zirkel und den Söhnen Gwydions zurückgekehrt, aber er weigert sich, über seine Erfahrungen dort zu sprechen. Ihr wisst, dass er an mehreren Schlachten teilgenommen und viele Feinde getötet hat, aber anstatt im Ruhm seiner Errungenschaften zu schwelgen, wird [From.GetFirstName] von Albträumen geplagt und springt bei plötzlichen Geräuschen auf.;;[From.GetTitledFirstName] ha regresado de Grecia y de la Guardia Varangiana, pero se niega a hablar de sus experiencias allí. Tú sabes que participó en varias batallas y mató a muchos enemigos, pero en vez de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta con los ruidos repentinos.;;;;;;;;;x
EVTOPTA_ancrel_0133;Strange...;Étrange...;Seltsam...;;Extraño…;;;;;;;;;x
EVTDESC_ancrel_0135;[From.GetTitledFirstName] has come home from the Circle and his service with the Sons of Gwydion, but he is not alone. He has found a wife and brought her with him. She seems loyal and well versed in the ways of the gods: she will make a good wife.;[From.GetTitledFirstName] est de retour de Miklagård et de son service dans la Garde varègue, mais il ne revient pas seul. Il s'est marié à une Grecque et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez soi.;[From.GetTitledFirstName] ist vom Zirkel und seinem Dienst bei den Söhnen Gwydions heimgekehrt, aber er ist nicht allein. Er hat eine Frau gefunden und sie mitgebracht. Sie scheint treu zu sein und sich gut mit den Wegen der Götter auszukennen: Sie wird eine gute Ehefrau sein.;;[From.GetTitledFirstName] ha llegado a casa de Miklagård y de su servicio con la Guardia Varangiana, pero no está solo. Ha encontrado una esposa griega y la trajo con él. Ella no conoce nuestras costumbres ni el idioma, y el clima no le gusta demasiado, pero parece estar dispuesta a hacer lo mejor de su nuevo hogar.;;;;;;;;;x
EVTOPTA_ancrel_0135;Each to their own.;À chacun sa façon.;Jedem das Seine.;;Cada uno a lo suyo.;;;;;;;;;x
EVTDESC_ancrel_0137;After many years at the Circle and around Britain, [From.GetTitledFirstName] has finally been released from his service with the Sons of Gwydion and has returned home. Your son is a changed man, however. Secular matters no longer hold any interest for him, and he instead speaks incessantly of the Otherworld and the wonders of the Circle...;Après plusieurs années en Grèce, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans la Garde varègue et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;Nach vielen Jahren im Zirkel und in Britannien ist [From.GetTitledFirstName] endlich aus seinem Dienst bei den Söhnen Gwydions entlassen worden und nach Hause zurückgekehrt. Euer Sohn ist jedoch ein anderer Mensch geworden. Weltliche Angelegenheiten interessieren ihn nicht mehr, und stattdessen spricht er unaufhörlich von der Anderswelt und den Wundern des Zirkels...;;Tras muchos años en Grecia, [From.GetTitledFirstName] ha sido finalmente liberado de su servicio a la Guardia Varangiana y ha regresado a casa. Sin embargo, tu hijo ha cambiado. Los viejos dioses ya no le interesan, y en cambio habla sin cesar de la Cristiandad y los horrores que le esperan a aquellos que se niegan a convertirse...;;;;;;;;;x
