#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# base_birth_events.txt
EVTOPTD301;Isn't [From.GetSheHe] adorable?;;Ist [From.GetSheHe] nicht hinreißend?;;;x
EVTDESC72075_male;I made sure the most handsome man would be my dinner partner and during the feast I kept refilling both our wine glasses. My charm and my winning smile made it impossible for him to stay unresponsive, and it didn't take long until he looked at me with more than interest in his eyes...;;Ich sorgte dafür, dass der hübscheste Mann mein Tischgenosse wurde, und während des Festmahls füllte ich immer wieder unsere beiden Weingläser nach. Mein Charme und mein gewinnendes Lächeln machten es ihm unmöglich, unempfänglich zu bleiben, und es dauerte nicht lange, bis er mich mit mehr als nur Interesse in seinen Augen ansah...;;;x
EVTDESC72077;The night of passion [From.GetTitledFirstName] and I shared was certainly exceptional. Come the next day, however, I must determine if there is, in fact, anything more between us...;;Die Nacht der Leidenschaft, die [From.GetTitledFirstName] und ich teilten, war sicherlich außergewöhnlich. Aber am nächsten Tag muss ich herausfinden, ob da noch mehr zwischen uns ist...;;;x
EVTDESC72075;I made sure the most beautiful guest would be my dinner partner and during the feast I kept refilling both our wine glasses. My charm and my winning smile made it impossible for them to stay unresponsive, it didn't take long until they looked at me with more than interest in their eyes...;;Ich habe dafür gesorgt, dass der schönste Gast meine Tischnachbarin ist, und während des Festmahls habe ich unsere beiden Weingläser immer wieder nachgefüllt. Mein Charme und mein gewinnendes Lächeln machten es ihnen unmöglich, unempfänglich zu bleiben, und es dauerte nicht lange, bis sie mich mit mehr als nur Interesse in ihren Augen ansahen...;;;x
EVTDESC72030;I saw my mortal enemy as soon as I stepped into [Root.Liege.GetTitledFirstName]'s castle. His presence was almost more than I could bear and I longed to pick up my sword and impale him with it!;À mon arrivée au château de [Root.Liege.GetTitledFirstName], j'ai aperçu mon ennemi(e) juré(e). Sa présence m'était presque insupportable et je me languissais de dégainer mon épée pour l'empaler !;Ich sah meinen Todfeind, sobald ich das Schloss von [Root.Liege.GetTitledFirstName] betrat. Seine Anwesenheit war fast mehr, als ich ertragen konnte, und ich sehnte mich danach, mein Schwert zu nehmen und ihn damit aufzuspießen!;;Ahí vi a mi enemigo acérrimo nada más entrar en el castillo de [Root.Liege.GetTitledFirstName]. Su presencia era casi más de lo que podía soportar, ¡deseaba coger mi espada y empalarlo con ella!;x
# base_court_events.txt
EVTOPTB73200;Best not to annoy [Root.Liege.GetHerHim];;Am besten, man ärgert [Root.Liege.GetHerHim] nicht.;;;x
# base_job_flavour_events.txt
EVTDESC75114;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;;[From.GetTitledFirstName] glaubte mir, als ich [From.GetHerHim] sagte, dass ich nie mit dem Mädchen gesprochen hatte, das mich der Vergewaltigung beschuldigte.;;;x
# soi_furusiyya_events.txt
EVTDESC88283;Riders have been sent to all the corners of the land, spreading word that the grand Furusiyya tournament will soon be held. All knights are expected to attend, and all others will be invited to witness the spectacle.;;Reiter wurden in alle Ecken des Landes geschickt, um die Nachricht zu verbreiten, dass bald das große Furusiyya-Turnier stattfinden wird. Es wird erwartet, dass alle Ritter daran teilnehmen, und alle anderen werden eingeladen, dem Spektakel beizuwohnen.;;;x
EVTOPTA88283;Praise be to [Root.Religion.GetRandomGodName]!;;Gepriesen sei der [Root.Religion.GetRandomGodName]!;;;x
EVTDESC88251;The grand tournament known as the Furusiyya begins, and the coming two months shall separate those gifted with the skills of a warrior from those who would only pretend at such.;;Das große Turnier, das als Furusiyya bekannt ist, beginnt, und die kommenden zwei Monate werden diejenigen, die über die Fähigkeiten eines Kriegers verfügen, von denen unterscheiden, die nur so tun, als ob sie es wären.;;;x
# soi_decadence_events.txt
EVTDESC91350;My [GetFromFromRelation], [FromFrom.GetBestName], has let me know that my sinful living shames the entire dynasty in [FromFrom.PrimaryTitle.GetName]. [FromFrom.GetSubjectPronounCap] is exerting [FromFrom.GetPossPronoun] influence to shield House [Root.GetOnlyDynastyName], but strongly urges me to seek guidance in the perfect example set by the Prophet (peace be upon him).;;Mein [GetFromFromRelation], [FromFrom.GetBestName], hat mich wissen lassen, dass mein sündiges Leben die gesamte Dynastie in [FromFrom.PrimaryTitle.GetName] beschämt. [FromFrom.GetSubjectPronounCap] übt [FromFrom.GetPossPronoun] Einfluss aus, um das Haus [Root.GetOnlyDynastyName] zu schützen, fordert mich aber eindringlich auf, mich nach dem perfekten Beispiel des Propheten (Friede sei mit ihm) zu richten.;;;x
EVTDESC91351;My decadent [GetFromRelation], [From.GetTitledFirstNameNoRegnal], refuses to change [From.GetPossPronoun] sinful ways. I can declare [From.GetObjectPronoun] a kafir, which will give me a reason to exile the degenerate... unless there is another way to get through to [From.GetObjectPronoun]?;;Mein dekadenter [GetFromRelation], [From.GetTitledFirstNameNoRegnal], weigert sich, [From.GetPossPronoun] sündige Wege zu ändern. Ich kann [From.GetObjectPronoun] zum Kafir erklären, was mir einen Grund geben würde, den Entarteten zu verbannen... es sei denn, es gibt einen anderen Weg, zu [From.GetObjectPronoun] durchzudringen?;;;x
EVTOPTB91360;I must join the [join_holy_order.GetFullName]!;;Ich muss mich dem [join_holy_order.GetFullName] anschließen!;;;x
EVTOPTA91352;Good, House [Root.GetOnlyDynastyName] must stay pure!;;Gut, Haus [Root.GetOnlyDynastyName] muss rein bleiben!;;;x
# base_friends_rivals_events.txt
EVTDESC100170;The friend of a friend is my friend - a motto I try to live by and sometimes that is an easy truth. I was recently introduced to [friends_friend.GetTitledName] through my friend, [my_friend.GetTitledFirstNameNoRegnal], and immediately felt a connection to [friends_friend.GetHerHim]...;;Der Freund eines Freundes ist mein Freund - ein Motto, nach dem ich versuche zu leben, und manchmal ist das eine einfache Wahrheit. Ich wurde kürzlich durch mein Freund [my_friend.GetTitledName] mit [friends_friend.GetTitledFirstNameNoRegnal] bekannt gemacht und fühlte mich sofort mit [friends_friend.GetHerHim] verbunden...;;;x
EVTDESC100171;I recently introduced [start_friend.GetTitledFirstNameNoRegnal] to [friends_friend.GetTitledFirstNameNoRegnal], and had high hopes. They are both my friends, after all, and I hoped they might hit it off and befriend each other, as well...;;Vor kurzem habe ich [start_friend.GetTitledFirstNameNoRegnal] mit [friends_friend.GetTitledFirstNameNoRegnal] bekannt gemacht, und ich hatte große Hoffnungen. Schließlich sind sie beide meine Freunde, und ich hoffte, sie würden sich gut verstehen und auch miteinander anfreunden...;;;x
EVTOPTA100171;...alas, [start_friend.GetTitledFirstNameNoRegnal] didn't care for [friends_friend.GetTitledFirstNameNoRegnal] at all;;... aber leider mochte [start_friend.GetTitledFirstNameNoRegnal] [friends_friend.GetTitledFirstNameNoRegnal] überhaupt nicht;;;x
EVTOPTB100171;...and, sure enough, they had a great time together!;;...und natürlich hatten sie eine tolle Zeit zusammen!;;;x
EVTOPTC100171;...unfortunately, I don't think that's going to happen.;;...leider glaube ich nicht, dass das passieren wird.;;;x
EVTOPTD100171;...but they didn't, sadly, and just ended up irritating each other;;...aber das taten sie leider nicht und ärgerten sich am Ende nur gegenseitig;;;x
EVTDESC100172;[start_friend.GetTitledFirstNameNoRegnal] was introduced by a mutual friend, [my_friend.GetTitledFirstNameNoRegnal], and we talked for quite a while. We had our differences and a few arguments, then we found common, safe ground and I began enjoying myself. [start_friend.GetSheHeCap] seems like a decent person.;;[start_friend.GetTitledFirstNameNoRegnal] wurde von einem gemeinsamen Freund, [my_friend.GetTitledFirstNameNoRegnal], vorgestellt, und wir haben uns eine ganze Weile unterhalten. Wir hatten unsere Differenzen und ein paar Streitereien, dann fanden wir eine gemeinsame, sichere Basis und ich begann, mich zu amüsieren. [start_friend.GetSheHeCap] scheint ein anständiger Mensch zu sein.;;;x
EVTDESC100173;After I talked to [start_friend.GetTitledFirstNameNoRegnal] and discovered we had next to nothing in common, and that [start_friend.GetSheHe] was a horrible [start_friend.GetManWoman], I wanted nothing to do with [start_friend.GetHerHim] ever again! Our mutual friend, [my_friend.GetTitledFirstNameNoRegnal], wasn't happy, but understood I wouldn't ever be friends with [start_friend.GetTitledFirstNameNoRegnal].;;Nachdem ich mit [start_friend.GetTitledFirstNameNoRegnal] gesprochen und festgestellt hatte, dass wir so gut wie nichts gemeinsam hatten und dass [start_friend.GetSheHe] eine schreckliche [start_friend.GetManWoman] war, wollte ich mit [start_friend.GetHerHim] nie wieder etwas zu tun haben! Unser gemeinsamer Freund, [my_friend.GetTitledFirstNameNoRegnal], war nicht glücklich darüber, verstand aber, dass ich nie wieder mit [start_friend.GetTitledFirstNameNoRegnal] befreundet sein wollte.;;;x
EVTOPTB100174;Sadly, [friends_friend.GetTitledFirstNameNoRegnal] didn't feel the same way...;;Leider empfand [friends_friend.GetTitledFirstNameNoRegnal] nicht dasselbe...;;;x
EVTDESC100411;Though I had thought [From.GetTitledFirstName] to be a more reasonable man, [From.GetHerHis] request to be allowed to duel [From.GetHerHis] rival [duel_rival.GetTitledFirstName] was slightly... erratic. [From.GetTitledFirstName] claimed to be constantly subject to affronts from [duel_rival.GetTitledFirstName] and asked for permission to defend [From.GetHerHis] honor.;;Obwohl ich [From.GetTitledFirstName] für einen vernünftigen Mann gehalten hatte, war [From.GetHerHis] Bitte, sich mit [duel_rival.GetTitledFirstName] duellieren zu dürfen, etwas... sprunghaft. [From.GetTitledFirstName] behauptete, ständig Beleidigungen von [duel_rival.GetTitledFirstName] ausgesetzt zu sein, und bat um die Erlaubnis, [From.GetHerHis] Ehre zu verteidigen.;;;x
EVTDESC100416;Your rival [From.GetBestName] has received permission from [From.Liege.GetBestName] to duel you.;;Euer Rivale [From.GetBestName] hat von [From.Liege.GetBestName] die Erlaubnis erhalten, Euch zu duellieren.;;;x
EVTDESC100417;Your rival [From.GetBestName] has cowardly refused to duel you! ;;Euer Rivale [From.GetBestName] hat sich feige geweigert, sich mit Euch zu duellieren! ;;;x
EVTOPTA100416;I see.;;Ich verstehe.;;;x
EVTOPTB100416;What? But I might be wounded!;;Was? Aber ich könnte verwundet werden!;;;x
EVTOPTB100428;I proved my innocence when my rival lay unconscious on the ground at my feet;;Ich habe meine Unschuld bewiesen, als mein Rivale bewusstlos zu meinen Füßen auf dem Boden lag.;;;x
EVTOPTC100428;I defeated my rival and thus proved I am not a cheater;;Ich habe meinen Rivalen besiegt und damit bewiesen, dass ich kein Betrüger bin;;;x
EVTTOOLTIPA100513;has killed [Root.GetTitledFirstName] with an arrow!;;hat [Root.GetTitledFirstName] mit einem Pfeil getötet!;;;x
EVTTOOLTIPB100416;Your rival will hear of your cowardice;;Dein Rivale wird von deiner Feigheit erfahren;;;x
EVTTOOLTIP100211;[This.GetTitledFirstName] is told what [Root.GetTitledFirstName] had in mind about reinforcements in [Root.Location.GetName];est averti des idées de [Root.GetTitledFirstName] quant au renforcement des bâtisses situées [Root.Location.GetName].;[This.GetTitledFirstName] erfährt, was [Root.GetTitledFirstName] mit der Verstärkung in [Root.Location.GetName] vorhatte;;se le dice lo que [Root.GetTitledFirstName] tenía en mente acerca de los refuerzos en [Root.Location.GetName];x
# ?
EVTOPTA200000;I'm a hunter;;Ich bin ein Jäger;;;x
EVTOPTA200001;I'm a falconer;;Ich bin ein Falkner;;;x
EVTOPTA200002;I'm a scholar;;Ich bin ein Gelehrter;;;x
EVTOPTA200003;I'm a mystic;;Ich bin ein Mystiker;;;x
EVTOPTA200004;I'm an impaler;;Ich bin ein Pfähler;;;x
EVTOPTA200005;I'm a gardener;;Ich bin ein Gärtner;;;x
EVTOPTA200006;I'm a poet;;Ich bin ein Dichter;;;x
EVTOPTA200007;I'm celibate;;Ich bin ein Zölibatär;;;x
EVTOPTA200008;I'm a hedonist;;Ich bin ein Hedonist;;;x
EVTOPTA200009;I'm a duelist;;Ich bin ein Duellant;;;x
EVTOPTA200010;I am proud to have become a faqih!;;Ich bin stolz darauf, ein Faqih geworden zu sein!;;;x
EVTDESC710000;The Jewish Community that I am sheltering has prospered and grown under my benevolent rule.;;Die jüdische Gemeinde, die ich beschütze, ist unter meiner wohlwollenden Herrschaft gediehen und gewachsen.;;;x
EVTOPTA710000;Excellent;;Ausgezeichnet;;;x
EVTDESC710001;My liege, I bring news from the [From.PrimaryTitle.GetFullName]. The Jewish merchants that you wisely allowed to settle in the city have grown fat and prosperous under your benevolent rule, and you can expect increased revenue from the taxes and tariffs imposed on their community.;;Mein Herr, ich bringe Neuigkeiten aus der [From.PrimaryTitle.GetFullName]. Die jüdischen Kaufleute, denen Ihr in weiser Voraussicht erlaubt habt, sich in der Stadt niederzulassen, sind unter Eurer gütigen Herrschaft fett und wohlhabend geworden, und Ihr könnt mit höheren Einnahmen aus den Steuern und Zöllen rechnen, die ihrer Gemeinschaft auferlegt werden.;;;x
EVTOPTA710001;Excellent;;Ausgezeichnet;;;x
EVTDESC710003;A skilled advisor from the Jewish Community I am sheltering has made his services available to me.;;Ein erfahrener Berater aus der jüdischen Gemeinde, die ich beherberge, hat mir seine Dienste zur Verfügung gestellt.;;;x
EVTDESC710004;A group of Jewish refugees from distant lands have come to my court. They are seeking a new a place to live after being expelled from their former homes and ask for my permission to establish a community in one of my cities.;;Eine Gruppe von jüdischen Flüchtlingen aus fernen Ländern ist zu meinem Hof gekommen. Sie sind auf der Suche nach einer neuen Bleibe, nachdem sie aus ihrer früheren Heimat vertrieben wurden, und bitten mich um die Erlaubnis, in einer meiner Städte eine Gemeinschaft zu gründen.;;;x
EVTOPTA710004;They are welcome!;;Sie sind willkommen!;;;x
EVTOPTB710004;Tell them to move on;;Sagt ihnen, sie sollen weiterziehen;;;x
EVTDESC710005;[From.GetTitledName] has decreed that all Jews in [From.PrimaryTitle.GetName] are to be expelled from the realm and their assets seized by the crown. This includes my own Jewish subjects, who I have no choice but to banish unless I want to openly defy my liege.;;[From.GetTitledName] hat verfügt, dass alle Juden in [From.PrimaryTitle.GetName] aus dem Reich vertrieben werden und ihr Vermögen von der Krone beschlagnahmt wird. Das schließt meine eigenen jüdischen Untertanen ein, die ich nur verbannen kann, wenn ich mich nicht offen gegen meinen Lehnsherrn auflehnen will.;;;x
EVTOPTA710005;Bow to [From.GetHerHis] demands;;Beugt Euch den Forderungen von [From.GetHerHis];;;x
EVTOPTB710005;Never!;;Niemals!;;;x
# cm_culture_conversion_events.txt
EVTDESC_CM_13;The Franks in the county of [Root.GetName] have now adopted enough of Germanic customs that they can no longer be recognized as Frankish.;;Die Franken in der Grafschaft [Root.GetName] haben inzwischen so viele germanische Bräuche übernommen, dass sie nicht mehr als Franken zu erkennen sind.;;;x
EVTDESC_CM_14;The people in the county of [Root.GetName] have developed new customs and a unique identity. They are no longer [Root.Culture.GetName], but Flemish.;;Die Menschen in der Grafschaft [Root.GetName] haben neue Bräuche und eine eigene Identität entwickelt. Sie sind nicht mehr [Root.Culture.GetName], sondern flämisch.;;;x
EVTDESC_CM_15;Far from their ancestral steppelands, the Bolghars have over the centuries slowly but steadily adopted more and more Slavic and Roman traditions. In the province of [Root.GetName], the people have now gone so far as to start considering themselves properly Bulgarian.;;Weit entfernt von ihren angestammten Steppengebieten haben die Bolgharen im Laufe der Jahrhunderte langsam aber stetig immer mehr slawische und römische Traditionen übernommen. In der Provinz [Root.GetName] sind die Menschen inzwischen so weit gegangen, dass sie sich als richtige Bulgaren betrachten.;;;x
EVTDESC_ITALY_CC_1;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Emilians, of Italy.;;Weit weg von ihrem angestammten Land haben die langobardischen Stämme langsam aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie keine Langobarden mehr, sondern Emilier, Italiener.;;;x
EVTDESC_ITALY_CC_2;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Venetians, of Italy.;;Weit weg von ihrem angestammten Land haben die Langobarden langsam, aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie nicht mehr Langobarden, sondern Venezianer, die Italiener.;;;x
EVTDESC_ITALY_CC_3;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Ligurians, of Italy.;;Weit weg von ihrem angestammten Land haben die Langobarden langsam, aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie nicht mehr Langobarden, sondern Ligurer, die Italiener.;;;x
EVTDESC_ITALY_CC_4;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Lombards, of Italy.;;Weit entfernt von ihrem angestammten Land haben die Langobarden langsam aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie nicht mehr Langobarden, sondern Lombarden, die Italiener.;;;x
EVTDESC_ITALY_CC_5;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Umbrians, of Italy.;;Weit entfernt von ihrem angestammten Land haben die Langobarden langsam aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie nicht mehr Langobarden, sondern Umbrer, die Italiener.;;;x
EVTDESC_ITALY_CC_6;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Neapolitan, of Italy.;;Weit entfernt von ihrem angestammten Land haben die Langobarden langsam aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie keine Langobarden mehr, sondern Neapolitaner, die aus Italien stammen.;;;x
EVTDESC_ITALY_CC_7;Far from their ancestral lands, the Longobard tribes have slowly but steadily adopted more native Italic customs. Now, they're no longer Longobards, but became Tuscans, of Italy.;;Weit weg von ihrem angestammten Land haben die Langobarden langsam, aber stetig mehr einheimische italienische Bräuche angenommen. Jetzt sind sie keine Langobarden mehr, sondern die Toskaner in Italien.;;;x
EVTOPTA_ITALY_CC_L;New times, new customs.;;Neue Zeiten, neue Sitten.;;;x
# hl_rebel_events.txt
EVTDESC_HL_2000;A leader of a minor clan by the name of [minor_clan_revolt_leader.GetFullName] has recently arisen in [Root.GetName], and has proven charismatic enough to attract a large number of followers. He is demanding the recognition of his clan, and that [Root.GetName] be granted as their rightful grazing lands.;;Ein Anführer eines kleineren Clans namens [minor_clan_revolt_leader.GetFullName] ist kürzlich in [Root.GetName] aufgetaucht und hat sich als charismatisch genug erwiesen, um eine große Anzahl von Anhängern anzuziehen. Er fordert die Anerkennung seines Clans und die Zuerkennung von [Root.GetName] als ihr rechtmäßiges Weideland.;;;x
EVTOPTA_HL_2000;Give him the land;;Gebt ihm das Land;;;x
EVTOPTB_HL_2000;Never! He will have to fight for it!;;Niemals! Er wird dafür kämpfen müssen!;;;x
# lor_roman_events.txt
EVTNAMELoR.3;The Province of Cyrenaica et Creta;;Die Provinz Cyrenaica et Creta;;;x
EVTDESCLoR.3;The citizens of Cyrenaica et Creta can rejoice, as Roman law is once more upheld in this barren land. Yet another ancient Roman province has been returned to the bosom of the mightiest empire the civilized world has ever seen. May it never suffer the cruel touch of barbarians again.;;Die Bürger von Cyrenaica et Creta können sich freuen, denn in diesem unwirtlichen Land gilt wieder das römische Recht. Eine weitere alte römische Provinz ist in den Schoß des mächtigsten Imperiums zurückgekehrt, das die zivilisierte Welt je gesehen hat. Möge sie nie wieder unter der grausamen Berührung von Barbaren leiden.;;;x
EVTNAMELoR.15;The Province of Asia;;Die Provinz Asien;;;x
EVTDESCLoR.15;The ancient region of Asia is the latest addition to the ever-expanding domains of the Roman Empire.;;Die antike Region Asien ist das jüngste Mitglied der sich ständig erweiternden Domänen des Römischen Reiches.;;;x
EVTNAMELoR.16;The Province of Macedonia;;Die Provinz Makedonien;;;x
EVTDESCLoR.16;The ancient region of Macedonia is the latest addition to the ever-expanding domains of the Roman Empire.;;Die antike Region Makedonien ist die jüngste Ergänzung der immer größer werdenden Gebiete des Römischen Reiches.;;;x
EVTNAMELoR.17;The Province of Pontus;;Die Provinz Pontus;;;x
EVTDESCLoR.17;The ancient region of Pontus is the latest addition to the ever-expanding domains of the Roman Empire.;;Die antike Region Pontus ist die jüngste Ergänzung der immer größer werdenden Gebiete des Römischen Reiches.;;;x
EVTNAMELoR.18;The Province of Thracia;;Die Provinz Thracia;;;x
EVTDESCLoR.18;The ancient region of Thracia is the latest addition to the ever-expanding domains of the Roman Empire.;;Die antike Region Thrakien ist der jüngste Zuwachs in den immer größer werdenden Gebieten des Römischen Reiches.;;;x
EVTDESCLoR.200;With the city under [Root.PrimaryTitle.GetAdjective] control, the Patriarchate of Antioch has been properly restored as one of the episcopal sees of the Pentarchy in the [Root.Religion.GetName] Church. It was originally founded by Saint Peter the Apostle, who is regarded as the first Pope by the Western Catholic Church.;;Mit der Stadt unter der Kontrolle von [Root.PrimaryTitle.GetAdjective] wurde das Patriarchat von Antiochia als einer der Bischofssitze der Pentarchie in der [Root.Religion.GetName] Kirche wiederhergestellt. Es wurde ursprünglich vom Heiligen Apostel Petrus gegründet, der von der westlichen katholischen Kirche als erster Papst angesehen wird.;;;x
EVTDESCLoR.201;With the city under [Root.PrimaryTitle.GetAdjective] control, the Patriarchate of Jerusalem has been properly restored as one of the episcopal sees of the Pentarchy in the [Root.Religion.GetName] Church. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;;Seitdem die Stadt unter der Kontrolle von [Root.PrimaryTitle.GetAdjective] steht, ist das Patriarchat von Jerusalem als einer der Bischofssitze des Pentarchats in der [Root.Religion.GetName]-Kirche wiederhergestellt worden. Es wurde ursprünglich vom heiligen Jakobus dem Gerechten gegründet, der kurz nach dem Tod Jesu zum Oberhaupt der Kirche in Jerusalem ernannt wurde.;;;x
EVTDESCLoR.202;With the city under [Root.PrimaryTitle.GetAdjective] control, the Patriarchate of Alexandria has been properly restored as one of the episcopal sees of the Pentarchy in the [Root.Religion.GetName] Church. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;;Seitdem die Stadt unter der Kontrolle von [Root.PrimaryTitle.GetAdjective] steht, ist das Patriarchat von Alexandria als einer der Bischofssitze des Pentarchats in der [Root.Religion.GetName]-Kirche wiederhergestellt worden. Es wurde ursprünglich vom Heiligen Markus dem Evangelisten gegründet, der der erste Patriarch von Alexandria wurde.;;;x
EVTDESCLoR.203;With the city under [Root.PrimaryTitle.GetAdjective] control, the Patriarchate of Rome has been properly restored as one of the episcopal sees of the Pentarchy in the [Root.Religion.GetName] Church. If all five historical patriarchates are returned to the Pentarchy, it will be perhaps be possible for the Great Schism which has divided eastern and western Christianity to finally be mended.;;Da die Stadt nun unter der Kontrolle von [Root.PrimaryTitle.GetAdjective] steht, wurde das Patriarchat von Rom ordnungsgemäß als einer der Bischofssitze des Pentarchats in der [Root.Religion.GetName]-Kirche wiederhergestellt. Wenn alle fünf historischen Patriarchate an die Pentarchie zurückgegeben werden, kann das große Schisma, das die östliche und westliche Christenheit gespalten hat, vielleicht endlich überwunden werden.;;;x
EVTDESC_LoR_230;With the city now under [Root.PrimaryTitle.GetAdjective] control, the Patriarchate of Constantinople has been properly restored as one of the episcopal sees of the Pentarchy in the [Root.Religion.GetName] Church. If all five historical patriarchates are returned to the Pentarchy, it will be perhaps be possible for the Great Schism which has divided eastern and western Christianity to finally be mended.;;Da die Stadt nun unter der Kontrolle von [Root.PrimaryTitle.GetAdjective] steht, ist das Patriarchat von Konstantinopel als einer der Bischofssitze des Pentarchats in der [Root.Religion.GetName]-Kirche ordnungsgemäß wiederhergestellt worden. Wenn alle fünf historischen Patriarchate in die Pentarchie zurückkehren, kann das Große Schisma, das die östliche und westliche Christenheit gespalten hat, vielleicht endlich überwunden werden.;;;x
EVTNAMELoR.100;The Province of Pannonia-Dacia;;Die Provinz Pannonien-Dakien;;;x
EVTDESCLoR.100;At the Empire's greatest extent, during the rule of Emperor Trajan, both Pannonia and Dacia were under Roman rule. Now, once again, these lands are back in the Empire, where they belong.;;Zur Zeit der größten Ausdehnung des Reiches, unter Kaiser Trajan, standen sowohl Pannonien als auch Dakien unter römischer Herrschaft. Jetzt gehören diese Gebiete wieder zum Reich, wo sie hingehören.;;;x
EVTNAMELoR.101;The Province of Armenia;;Die Provinz Armenien;;;x
EVTDESCLoR.101;At the Empire's greatest extent, during the rule of Emperor Trajan, Armenia was under Roman rule. Now, once again, this land is back in the Empire, where it belongs.;;Während der größten Ausdehnung des Reiches, unter Kaiser Trajan, stand Armenien unter römischer Herrschaft. Jetzt gehört dieses Land wieder zum Reich, wo es hingehört.;;;x
EVTNAMELoR.102;The Province of Sardinia-Corsica;;Die Provinz Sardinien-Korsika;;;x
EVTDESCLoR.102;The islands of Corsica and Sardinia, originally incorporated in the empire after the First Punic War, are yet again under imperial rule. The conquest of this strategic location in the Mediterranean heralds a glorious westward expansion of the Empire.;;Die Inseln Korsika und Sardinien, die ursprünglich nach dem Ersten Punischen Krieg in das Reich eingegliedert worden waren, befinden sich nun wieder unter kaiserlicher Herrschaft. Die Eroberung dieser strategisch wichtigen Lage im Mittelmeer ist der Auftakt zu einer glorreichen Westexpansion des Reiches.;;;x
# lor_byzantine_events.txt
EVTDESCLoR.830;Your prisoner has been blinded. Another threat to your ambitions dealt with.;Votre prisonnier a <E9>t<E9> aveugl<E9>. Une autre menace <E0> vos ambitions vient d'<EA>tre <E9>cart<E9>e.;Euer Gefangener ist geblendet worden. Eine weitere Bedrohung für Eure Ambitionen ist beseitigt.;;Tu  preso ha sido cegado. Otra amenaza a tu ambici<F3>n.;x
EVTOPTBLoR.830;Back to the dungeon with [From.GetHerHim]!;;Zurück in den Kerker mit [From.GetHerHim]!;;;x
EVTDESCLoR.832;Your prisoner has been castrated. His screams could be heard all the way to your chambers.;Votre prisonnier a <E9>t<E9> castr<E9>. Son cri a pu <EA>tre entendu jusqu'<E0> la chambre du Conseil.;Euer Gefangener wurde kastriert. Seine Schreie waren bis in Eure Gemächer zu hören.;;Tu preso ha sido castrado. Sus fuertes gritos se oyeron desde tus aposentos.;x
EVTOPTBLoR.832;Back to the dungeon with [From.GetHerHim]!;;Zurück in den Kerker mit [From.GetHerHim]!;;;x
# republic_trade_events.txt
EVTOPTC_REP_61;A glorious future awaits!;;Eine glorreiche Zukunft erwartet uns!;;;x
# roi_various_events.txt
EVTOPTA_RoI_10001;I believe it really is [From.Reincarnation.GetHerHim]!;;Ich glaube, es ist wirklich [From.Reincarnation.GetHerHim]!;;;x
EVTOPTB_RoI_10001;No, that's nonsense;;Nein, das ist Blödsinn;;;x
EVTOPTA_RoI_10011;The cycle of rebirth is remarkable indeed!;;Der Kreislauf der Wiedergeburt ist in der Tat bemerkenswert!;;;x
EVTOPTA_RoI_10020;How has justice not been done?!;;Wie kann es sein, dass der Gerechtigkeit nicht Genüge getan wurde?!;;;x
# soa_jewish_events.txt
