#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexios Komnenos de Trébizonde;Alexios Komnenos von Trebizond;;Alexios Komnenos de Trebisonda;;;;;;;;;x
BM_NAPLES_DESC;In the bloody aftermath of the Sicilian Vespers, a war in which the Aragonese King attempted to assert his claim to the Kingdom of Sicily, the southern Italian peninsula is divided. The Kingdom of Trinacria has been proclaimed on the island of Sicily, with the brother of the Aragonese King ruling, and claiming rights to the entirety of the kingdom. On the mainland, the old king of Sicily, now absent his title's namesake, has instead crowned himself the King of Naples, and looks with jealousy on the island that should by rights be his. Both sides of the conflict have powerful allies, the king of Trinacria protected by the Kings of Aragon and Castille, and the king of Naples supported by Hungary-Croatia--a new war will not be an easy one. Also on the Iberian peninsula,Philippe IV Capet has come to inherit the Kingdom of Navarra, and can likewise be counted in the Iberian struggle. Who will move when, and what will they move against?;In the bloody aftermath of the Sicilian Vespers, a war in which the Aragonese King attempted to assert his claim to the Kingdom of Sicily, the southern Italian peninsula is divided. The Kingdom of Trinacria has been proclaimed on the island of Sicily, with the brother of the Aragonese King ruling, and claiming rights to the entirety of the kingdom. On the mainland, the old king of Sicily, now absent his title's namesake, has instead crowned himself the King of Naples, and looks with jealousy on the island that should by rights be his. Both sides of the conflict have powerful allies, the king of Trinacria protected by the Kings of Aragon and Castille, and the king of Naples supported by Hungary-Croatia--a new war will not be an easy one. Also on the Iberian peninsula,Philippe IV Capet has come to inherit the Kingdom of Navarra, and can likewise be counted in the Iberian struggle. Who will move when, and what will they move against?;In den blutigen Nachwehen der Sizilianischen Vesper, einem Krieg, in dem der aragonische König versuchte, seinen Anspruch auf das Königreich Sizilien geltend zu machen, ist die süditalienische Halbinsel geteilt. Auf der Insel Sizilien wurde das Königreich Trinacria ausgerufen, das vom Bruder des aragonesischen Königs regiert wird, der Anspruch auf das gesamte Königreich erhebt. Auf dem Festland hat sich der alte König von Sizilien in Abwesenheit seines Namensvetters zum König von Neapel gekrönt und blickt eifersüchtig auf die Insel, die von Rechts wegen ihm gehören sollte. Beide Seiten des Konflikts haben mächtige Verbündete: der König von Trinacria wird von den Königen von Aragon und Kastilien geschützt, und der König von Neapel wird von Ungarn-Kroatien unterstützt - ein neuer Krieg wird nicht einfach werden. Auch auf der iberischen Halbinsel ist Philipp IV. Capet gekommen, um das Königreich Navarra zu erben, und kann ebenfalls in den iberischen Kampf einbezogen werden. Wer wird sich wann bewegen, und wogegen werden sie sich bewegen?;;Trás el sangriento suceso de las Vísperas Sicilianas, una guerra donde el Rey Aragonés intentó concretar su derecho al Trono de Sicilia, la península italiana se encuentra dividida. El Reino de Trinacria se ha creado en la isla de Sicilia, con el hermano del Rey Aragonés gobernando y reclamando su derecho a todo el reino de la isla. En la tierra firme, el viejo Rey de Sicilia, ahora despojado de su título, se proclamó a sí mismo Rey de Nápoles, y mira con recelo a la isla que debería ser suya por derecho. Ambos lados del conflicto cuentan con poderosos aliados. El Rey de Trinacria tiene a su lado los reyes de Aragón y Castilla, y el Rey de Nápoles cuenta con el apoyo de Hungría-Croacia. Una nueva guerra no será sencilla para ningún bando. Como si fuera poco, en la península Ibérica, el Rey Felipe IV Capeto heredó el Reino de Navarra y pretende participar de la contienda Ibérica. Quien  moverá primero, cuando y contra quién?;;;;;;;;;x
BM_NORWAY_1;The Collapse of the Isles;L'effondrement du royaume de Man et des Îles;Der Untergang der Inseln;;El Colapso de Las Islas;;;;;;;;;x
BM_NORWAY_1_DESC;The Kingdom that Gudrød Crovan worked his entire life to create is no more. Dead of the plague, Gudrød's Kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Gudrød's old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather the Hårdråde and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;The Kingdom that Gudrød Crovan worked his entire life to create is no more. Dead of the plague, Gudrød's Kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Gudrød's old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather the Hårdråde and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;Das Königreich, das Gudrød Crovan sein ganzes Leben lang aufgebaut hat, gibt es nicht mehr. Nach dem Tod durch die Pest ist Gudrøds Königreich zerbrochen. Während König Magnus III. von Norwegen die Vorherrschaft über einen Großteil von Gudrøds altem Land wiedererlangt hat, haben Galloway und Dublin ihre Unabhängigkeit vom norwegischen König erklärt. Der Norden Albions befindet sich im Umbruch: Wird Magnus in der Lage sein, seinen besiegten Großvater, den Hårdråde, zu rächen und die Küsten Albions erneut zu terrorisieren, oder wird Edgar, der junge König von Schottland, diesen Übergang zu seinem Vorteil nutzen können?;;El Reino que Gudrod Crovan trabajó toda su vida para formar cesó de existir. Mientras el Rey Magnus III de Noruega asegura gran parte de su hegemonía sobre las tierras de Gudrod, Gollway y Dublin han declarado su independencia de Noruega. El norte de Albino se encuentra en estado de alarma: será Magnus capaz de restaurar el poderío noruego y vengar a su abuelo Hardrade, o será Edgar, el joven Rey de Escocia, capaz de asegurar la libertad y el trono de Escocia para el futuro?;;;;;;;;;x
BM_NYMPHAEUM;Treaty of Nymphaeum;Traité de Nymphée;Vertrag von Nymphaeum;;Tratado de Ninfeo;;;;;;;;;x
BM_NYMPHAEUM_DESC;The Treaty of Nymphaeum was a peace treaty signed between the Nicaean Empire, successor state of the Byzantine Empire, and the Latin Empire, which was established in the aftermath of the Fourth Crusade of 1204.;Le Traité de Nymphée était une paix entre l'Empire de Nicée, héritier de l'Empire Byzantin, et l'Empire Latin de Constantinople, qui avait été fondé à la suite de la Quatrième Croisade de 1204.;Der Vertrag von Nymphäum war ein Friedensvertrag zwischen dem Reich von Nicäa, dem Nachfolgestaat des Byzantinischen Reiches, und dem Lateinischen Reich, das im Anschluss an den Vierten Kreuzzug von 1204 gegründet wurde.;;El Tratado de Ninfeo (en griego: S?????? t?? ??µfa???) fue un tratado de paz firmado en diciembre de 1214 entre el Imperio de Nicea, el estado sucesor del Imperio bizantino y el Imperio Latino, que fue establecido como consecuencia de la Cuarta Cruzada de 1204.;;;;;;;;;x
BM_OSMANS_DREAM;Osman's Dream;Le rêve d'Osman;Der Traum des Osmanen;;El sueño de Osman;;;;;;;;;x
BM_OSMANS_DREAM_DESC;Osman, a Turkish Ghazi in Anatolia, was a powerful chieftain among the Beyliks. Ambitious and of great strategic mind he defeated the Byzantines in a series of battle and became a powerful ruler. One night he had a dream where he and his descendants would create an immense empire that would last for ages and would rule Constantinople, the city of Desires. Can Osman`s dream of a Ottoman Empire become a reality?;Le rêve d'Osman;Osman, ein türkischer Ghazi in Anatolien, war ein mächtiger Häuptling unter den Beyliks. Ehrgeizig und strategisch klug besiegte er die Byzantiner in einer Reihe von Schlachten und wurde ein mächtiger Herrscher. Eines Nachts hatte er einen Traum, in dem er und seine Nachkommen ein riesiges Reich errichteten, das ewig Bestand haben und Konstantinopel, die Stadt der Wünsche, beherrschen sollte. Kann Osmans Traum von einem Osmanischen Reich Wirklichkeit werden?;;Osman, un Ghazi Turko de Anatolia, fue un poderoso jefe entre los Beyliks. Ambicioso y de gran mentalidad estratégica, derrotó a los Bizantinos en una serie de batallas y se convirtió en un poderoso soberano. Una noche tuvo un sueño donde él y sus descendientes crearían un inmenso imperio que duraría por siglos y conquistarían Constantinopla, la ciudad Deseada. Podrá el sueño de Osman del Imperio Otomano convertirse en realidad?;;;;;;;;;x
BM_PERSIAN_STRUGGLE;The Struggle for Persia;La lutte pour la Perse;Der Kampf um Persien;;La Lucha por Persia;;;;;;;;;x
BM_PERSIAN_STRUGGLE_DESC;Against all odds, the struggle for Persia has once again taken on a new dimension. One of the vassals of the Sultan of Khiva, Tukush Ala ed-Din Il-Arslanoglu Anushtiginid, ruler of Turkestan, has betrayed his master, defeated his armies, and gone on a spree of conquest that ended with his rule in the majority of old Persia. He has claimed the crown of Persia for his house, and now, with his death, his son Mohammad rules--but not yet securely. House Ghurid has not forgotten their desire to rule Persia, and with the might of Rajastan behind them, the upstart house of Anushtiginid may yet only be a setback to their goal of claiming the throne of their Seljuk predecessors….;Against all odds, the struggle for Persia has once again taken on a new dimension. One of the vassals of the Sultan of Khiva, Tukush Ala ed-Din Il-Arslanoglu Anushtiginid, ruler of Turkestan, has betrayed his master, defeated his armies, and gone on a spree of conquest that ended with his rule in the majority of old Persia. He has claimed the crown of Persia for his house, and now, with his death, his son Mohammad rules--but not yet securely. House Ghurid has not forgotten their desire to rule Persia, and with the might of Rajastan behind them, the upstart house of Anushtiginid may yet only be a setback to their goal of claiming the throne of their Seljuk predecessors….;Allen Widrigkeiten zum Trotz hat der Kampf um Persien wieder einmal eine neue Dimension angenommen. Einer der Vasallen des Sultans von Chiwa, Tukush Ala ed-Din Il-Arslanoglu Anushtiginid, Herrscher von Turkestan, hat seinen Herrn verraten, seine Armeen besiegt und sich auf einen Eroberungsfeldzug begeben, der mit seiner Herrschaft über den größten Teil des alten Persiens endete. Er hat die Krone Persiens für sein Haus beansprucht, und nun, nach seinem Tod, regiert sein Sohn Mohammad - aber noch nicht sicher. Das Haus Ghurid hat seinen Wunsch, Persien zu regieren, nicht vergessen, und mit der Macht von Rajastan im Rücken könnte das aufstrebende Haus der Anuschtiginiden nur ein Rückschlag auf dem Weg zum Anspruch auf den Thron ihrer seldschukischen Vorgänger sein....;;En contra de todo pronóstico, la lucha por Persia ha llegado a un nuevo nivel. Uno de los vasallos del Sultan de Khiva, Tukush Ala ed-Din II-Arslanoglu Anushtiginid, soberano de Turkestan, ha traicionado a su Rey, derrotado sus ejércitos, y embarcado en una racha de conquistas que culminaron asentando su hegemonía en la mayoría de Persia. Ha reclamado la corona de Persia para su propia casa, y ahora, con su muerte, su hijo Mohammed gobierna pero no de manera segura. La Casa Ghurid no ha olvidado su deseo de gobernar en Persia, y con la grandiosa Rajastan a su favor, el ascenso de la casa de Anushtiginid es visto como un pequeño traspie de su objetivo de reclamar el trono que les pertenece.;;;;;;;;;x
BM_PLANTAGENET;Holy Roman Empire in Turmoil;Le Saint-Empire en tourmente;Heiliges Römisches Reich im Umbruch;;El Imperio Romano en Caos;;;;;;;;;x
BM_PLANTAGENET_DESC;Richard Plantagenet, through bribes to the German electorate, has been elected as King of the Germans. His election is not a simple one, however. It raises serious questions about the future of the Holy Roman Empire. The powerful Plantagenet England is a strong ally of the Emperor--one that he may need, for the Holy Roman Empire is dangerously imbalanced. Konrad II von Hohenstauffen, King of Sicily and grandson to Frederick Barbarossa, is an independent elector of the Empire, and jealously seeking a return of his family's titles. His control of the Duchy of Swabia means the Kingdom of Sicily has lands in central Germany, weakening the Empire and making Konrad a valid successor. If danger from outside Kings is not enough, Ottokar II of Bohemia has expanded toward the Adriatic sea, massing power and support for his own potential election. Can the House of Plantagenet maintain control through another election?;Richard Plantagenet, through bribes to the German electorate, has been elected as King of the Germans. His election is not a simple one, however. It raises serious questions about the future of the Holy Roman Empire. The powerful Plantagenet England is a strong ally of the Emperor--one that he may need, for the Holy Roman Empire is dangerously imbalanced. Konrad II von Hohenstauffen, King of Sicily and grandson to Frederick Barbarossa, is an independent elector of the Empire, and jealously seeking a return of his family's titles. His control of the Duchy of Swabia means the Kingdom of Sicily has lands in central Germany, weakening the Empire and making Konrad a valid successor. If danger from outside Kings is not enough, Ottokar II of Bohemia has expanded toward the Adriatic sea, massing power and support for his own potential election. Can the House of Plantagenet maintain control through another election?;Richard Plantagenet ist durch Bestechung der deutschen Wählerschaft zum König der Deutschen gewählt worden. Seine Wahl ist jedoch nicht einfach. Sie wirft ernste Fragen über die Zukunft des Heiligen Römischen Reiches auf. Das mächtige Plantagenet-England ist ein starker Verbündeter des Kaisers - einer, den er vielleicht braucht, denn das Heilige Römische Reich steht in einem gefährlichen Ungleichgewicht. Konrad II. von Hohenstauffen, König von Sizilien und Enkel von Friedrich Barbarossa, ist ein unabhängiger Kurfürst des Reiches und eifersüchtig auf die Rückgabe der Titel seiner Familie. Seine Kontrolle über das Herzogtum Schwaben bedeutet, dass das Königreich Sizilien über Ländereien in Mitteldeutschland verfügt, wodurch das Reich geschwächt wird und Konrad ein gültiger Nachfolger wird. Als ob die Gefahr von außen nicht schon genug wäre, hat sich Ottokar II. von Böhmen bis zur Adria ausgedehnt und sammelt dort Macht und Unterstützung für seine eigene mögliche Wahl. Kann das Haus Plantagenet durch eine weitere Wahl die Kontrolle behalten?;;Ricardo Plantagenet, mediante soboronos al Electorado Alemán, fue elegido Rey de los Alemanes. Su elección no fue sencilla, sin embargo. Presenta grandes dudas sobre el futuro del Sacro Imperio Romano. La poderosa Inglaterra Plantagenet es un fuerte aliado del Emperador---Uno que puede necesitar, puesto que el imperio se encuentra peligrosamente desbalanceado. Conrado II von Hohenstauffen, Rey de Sicilia y nieto de Federico Barbarossa, es un elector independiente del Imperio, celosamente buscando el retorno de los títulos que pertenecen a su familia. Su control del Ducado de Swabia significa que el Reino de Sicilia se ha expandido hacia el Mar Adriático, obteniendo apoyo y poder para su propia elección. Podrá la Casa de Plantagenet mantener el control mediante otra elección?;;;;;;;;;x
BM_POLAND;The Polish-Bohemian Union;L'union entre la Pologne et la Bohéme;Die Polnisch-Böhmische Union;;La Unión Polaco-Bohemia;;;;;;;;;x
BM_POLAND_DESC;Due to the untimely death of the Polish monarch without a favorable heir, Vaclav II Premyslid of Bohemia has been crowned king in place of another Piast. This gives Vaclav--heir to Ottokar, and all the desire for revenge against the von Hohenstauffens that comes with being his son--a great deal of power in Europe. If Vaclav is given time to consolidate and expand it is unlikely the Holy Roman Empire will ever be able to reassert its authority over Bohemia, with its control of the Italian peninsula already crumbling. The time to move is now!;Due to the untimely death of the Polish monarch without a favorable heir, Vaclav II Premyslid of Bohemia has been crowned king in place of another Piast. This gives Vaclav--heir to Ottokar, and all the desire for revenge against the von Hohenstauffens that comes with being his son--a great deal of power in Europe. If Vaclav is given time to consolidate and expand it is unlikely the Holy Roman Empire will ever be able to reassert its authority over Bohemia, with its control of the Italian peninsula already crumbling. The time to move is now!;Aufgrund des frühen Todes des polnischen Monarchen ohne einen geeigneten Erben wurde Vaclav II Premyslid von Böhmen anstelle eines anderen Piasten zum König gekrönt. Dies verleiht Vaclav - dem Erben Ottokars und den damit verbundenen Rachegelüsten gegen die von Hohenstauffens - eine große Macht in Europa. Wenn Vaclav Zeit bekommt, sich zu konsolidieren und zu expandieren, ist es unwahrscheinlich, dass das Heilige Römische Reich jemals wieder seine Autorität über Böhmen geltend machen kann, da seine Kontrolle über die italienische Halbinsel bereits bröckelt. Die Zeit zum Handeln ist jetzt gekommen!;;Debido a la muerte prematura del monarca Polaco sin heredero, Vaclav II Premyslid de Bohemia ha sido coronado rey en lugar de otro Piast. Esto da a Vaclav--heredero de Ottokar gran poder en Europa. Si Vaclav logra consolidar y expandirse es improbable que el Sacro Imperio Romano pueda ejercer su autoridad sobre Bohemia, con el control de la península italiana ya tambaleando. La hora del golpe es ahora!;;;;;;;;;x
BM_RAJASTAN;The Formation of Rajastan;La Formation du Rajasthan;Die Gründung von Rajastan;;La Formación de Rajastan;;;;;;;;;x
BM_RAJASTAN_DESC;The struggle for the crown of Perisa continues, and indeed has come to a head. Only two strong powers have survived to fight for the throne, but their contest has just changed radically. Shahanshah Ghiyath Ghurid, the same ex-Satrap who had declared independence from the decaying Seljuk Sultanate over 30 years before, has proclaimed himself ruler of a united Empire of Rajastan, a move that could signal many things to his primary rival, Ibrahim Qarakhanid of Khiva. Does the new Shahanshah intend to give up on Persia for the riches of India, or is this simply a way to gain more support for his continuing struggle with Ibrahim?;The struggle for the crown of Perisa continues, and indeed has come to a head. Only two strong powers have survived to fight for the throne, but their contest has just changed radically. Shahanshah Ghiyath Ghurid, the same ex-Satrap who had declared independence from the decaying Seljuk Sultanate over 30 years before, has proclaimed himself ruler of a united Empire of Rajastan, a move that could signal many things to his primary rival, Ibrahim Qarakhanid of Khiva. Does the new Shahanshah intend to give up on Persia for the riches of India, or is this simply a way to gain more support for his continuing struggle with Ibrahim?;Der Kampf um die Krone von Perisa geht weiter, und er hat sich tatsächlich zugespitzt. Nur zwei starke Mächte haben überlebt, um um den Thron zu kämpfen, aber ihr Kampf hat sich gerade radikal verändert. Shahanshah Ghiyath Ghurid, derselbe Ex-Satrap, der vor über 30 Jahren die Unabhängigkeit vom zerfallenden Seldschuken-Sultanat erklärt hatte, hat sich selbst zum Herrscher eines vereinigten Reiches Rajastan ausgerufen, ein Schritt, der seinem Hauptrivalen Ibrahim Qarakhanid von Chiwa vieles signalisieren könnte. Beabsichtigt der neue Schahansha, Persien für die Reichtümer Indiens aufzugeben, oder ist dies lediglich ein Mittel, um mehr Unterstützung für seinen anhaltenden Kampf mit Ibrahim zu gewinnen?;;La lucha por la corona Persa continúa, y ha llegado a un empate. Sólo 2 poderes han sobrevivido la contienda por el trono, pero la contesta ha cambiado de golpe. Shahanshah Ghiyath Ghurid, el mismo ex-Sátrapa que había declarado la independencia del decáido Sultanato Seljuk 30 años atrás, se ha proclamado a sí mismo soberano del Imperio Unificado de Rajastan, una jugada que podría señalar muchas cosas para su rival principal, Ibrahim Qarakhanid de Khiva. Tendrá la intención el nuevo Shahanshah de abandonar Persia por las riquezas de India, esto simplemente implica una manera más de ganar más apoyo para su lucha contra Ibrahim?;;;;;;;;;x
BM_SALADIN;Saladin;Saladin;Saladin;;Saladino;;;;;;;;;x
BM_SALADIN_DESC;Saladin, a Kurdish Sunni Muslim, has usurped the Sultanate of Egypt from the Shia Fatimids, turning his back on his benefactor Nur ad-Din, Emir of Aleppo, and causing great tension in the Crusader States. Although Saladin is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch….;Saladin, a Kurdish Sunni Muslim, has usurped the Sultanate of Egypt from the Shia Fatimids, turning his back on his benefactor Nur ad-Din, Emir of Aleppo, and causing great tension in the Crusader States. Although Saladin is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch….;Saladin, ein kurdischer sunnitischer Muslim, hat das Sultanat Ägypten von den schiitischen Fatimiden an sich gerissen, sich von seinem Wohltäter Nur ad-Din, dem Emir von Aleppo, abgewandt und für große Spannungen in den Kreuzfahrerstaaten gesorgt. Obwohl Saladin wahrscheinlich eine Zeit lang mit dem Emir von Aleppo beschäftigt sein wird, ganz zu schweigen von seinen eigenen schiitischen Untertanen, ist es nur eine Frage der Zeit, bis der heilige Krieger seine Augen auf die Staaten Jerusalem und Antiochia richtet....;;Saladino, un Musulmán Kurdo Suní, ha usurpado el Sultanato de Egipto del Shia Fatimí, dando la espalda a su benefactor Nur ad-Din, Emir de Aleppo, causando gran tensión en los Estados Cruzados. Aunque Saladino se mantendrá ocupado gran parte del tiempo lidiando con el Emir de Aleppo, sin mencionar sus súbditos Shia, es una cuestión de tiempo hasta que el guerrero santo apunte hacia los estados de Jerusalén y Antioquía..;;;;;;;;;x
BM_SARTAQ_KHAN;Sartaq Khan the Nestorian;Sartaq Khan le Nestorien;Sartaq Khan der Nestorianer;;Sartaq Khan el Nestoriano;;;;;;;;;x
BM_SARTAQ_KHAN_DESC;Sartaq Khan has become Khagan of the Golden Horde, but his reign is unstable and almost certainly doomed to fail. Sartaq is a Nestorian Christian, a heathen to his fellow Mongols and a heretic to his Orthodox vassals. There is minimal support for his reign throughout the Golden Horde… but perhaps there need not be. Realms that have been battered by warfare, either by the Horde itself or other Muslims, will inevitably look toward Sartaq's ascension--heretic or not--as a beacon in a time of darkness. If Sartaq can retain his rule long enough to form marriage ties with strong European realms, his rule and his faith might be beaten into his reluctant vassals.;Sartaq Khan has become Khagan of the Golden Horde, but his reign is unstable and almost certainly doomed to fail. Sartaq is a Nestorian Christian, a heathen to his fellow Mongols and a heretic to his Orthodox vassals. There is minimal support for his reign throughout the Golden Horde… but perhaps there need not be. Realms that have been battered by warfare, either by the Horde itself or other Muslims, will inevitably look toward Sartaq's ascension--heretic or not--as a beacon in a time of darkness. If Sartaq can retain his rule long enough to form marriage ties with strong European realms, his rule and his faith might be beaten into his reluctant vassals.;Sartaq Khan ist Khagan der Goldenen Horde geworden, aber seine Herrschaft ist instabil und mit ziemlicher Sicherheit zum Scheitern verurteilt. Sartaq ist ein nestorianischer Christ, ein Heide für seine mongolischen Landsleute und ein Ketzer für seine orthodoxen Vasallen. In der gesamten Goldenen Horde gibt es nur minimale Unterstützung für seine Herrschaft... aber vielleicht ist das auch gar nicht nötig. Reiche, die von Kriegen heimgesucht wurden, sei es von der Horde selbst oder von anderen Muslimen, werden unweigerlich auf Sartaqs Aufstieg blicken - Ketzer oder nicht - als ein Leuchtfeuer in einer Zeit der Dunkelheit. Wenn Sartaq seine Herrschaft lange genug aufrechterhalten kann, um Ehen mit starken europäischen Reichen zu schließen, könnten seine Herrschaft und sein Glaube in seine widerstrebenden Vasallen hineingepeitscht werden.;;Sartaq Khan se convirtió en el Khagan de la  Horda de Oro, pero su reino es inestable y casi seguro destinado al fracaso. Sartaq es un Nestoriano Cristiano, un infiel para sus compatriotas mongoles y un hereje para sus vasallos ortodoxos. Cuenta con un mínimo apoyo a lo largo de la Horda de Oro... pero tal vez, no hace le hace falta apoyo en absoluto. Reinos que han sido despedazados en guerras, ya sea por la Horda misma u otros Musulmanes, buscarán inevitablemente el apoyo de Sartaq -herético o no- para salvarles. Si Sartaq puede mantener su dominio lo suficiente para formar alianzas matrimoniales con poderosos reinos Europeos, su gobierno y fe podrían imponerse a sus vasallos;;;;;;;;;x
BM_SELJUK;The Collapse of the Seljuks;L'effondrement des Seldjoukides;Der Zusammenbruch der Seldschuken;;El Colapso de los Seléucidas;;;;;;;;;x
BM_SELJUK_DESC;The Seljuk Sultanate, beset on all sides with enemies and divided internally by decadence, corruption, and incompetence, has finally collapsed. Myriad ex-vassals, remaining members of the Seljuk family, and opportunists stand poised to fight over the remnants. The Sunni Caliph, the Turkish Sultan of Khiva, and untold Emirs, some of them the last remnants of the old Persian elite, all circle the corpse with hunger--who will win the great prize?;The Seljuk Sultanate, beset on all sides with enemies and divided internally by decadence, corruption, and incompetence, has finally collapsed. Myriad ex-vassals, remaining members of the Seljuk family, and opportunists stand poised to fight over the remnants. The Sunni Caliph, the Turkish Sultan of Khiva, and untold Emirs, some of them the last remnants of the old Persian elite, all circle the corpse with hunger--who will win the great prize?;Das Seldschuken-Sultanat, das von allen Seiten von Feinden bedrängt und im Inneren durch Dekadenz, Korruption und Inkompetenz gespalten war, ist endgültig zusammengebrochen. Myriaden ehemaliger Vasallen, verbliebene Mitglieder der seldschukischen Familie und Opportunisten stehen bereit, um die Überreste zu kämpfen. Der sunnitische Kalif, der türkische Sultan von Chiwa und zahllose Emire, einige von ihnen die letzten Überbleibsel der alten persischen Elite, umkreisen hungrig den Leichnam - wer wird den großen Preis gewinnen?;;El Sultanato Seléucida, rodeado de enemigos y dividido internamente por su propia decadencia, corrupción e incompetencia, finalmente ha colapsado. Los ex-vasallos de Myriad, miembros restantes de la familia Seléucida, ;;;;;;;;;x
BM_SERBIA;Fall of the Komnenoi;La chute des Comnènes;Der Fall der Komnenoi;;Fall of the Komnenoi;;;;;;;;;x
BM_SERBIA_DESC;The Komnenoi have fallen from the Imperial Throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire's restored borders in Anatolia, and an independent Belá III rules in Hungary-Croatia. All of Manuel Komnenos's dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family's untimely fall from grace brought to a close.;The Komnenoi have fallen from the Imperial Throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire's restored borders in Anatolia, and an independent Belá III rules in Hungary-Croatia. All of Manuel Komnenos's dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family's untimely fall from grace brought to a close.;Die Komnenoi sind vom Kaiserthron gestürzt, und Byzanz fällt mit ihnen. Die neu gegründeten Königreiche Serbien und Bulgarien haben ihre Unabhängigkeit von der byzantinischen Krone erklärt, die seldschukischen Sultane von Rum drängen gegen die wiederhergestellten Grenzen des Reiches in Anatolien, und in Ungarn-Kroatien herrscht ein unabhängiger Belá III. Alle Träume von Manuel Komnenos haben sich zerschlagen, doch für diejenigen, die klug genug sind, sie zu erkennen, bietet sich jetzt eine Chance. Alexios Komnenos, ein junges Mitglied der königlichen Dynastie der Komnenos, regiert in Trebizond. Wenn es ihm gelingt, genügend Unterstützung zu sammeln, um seinen Anspruch auf Byzanz durchzusetzen, kann der junge Komnenos daran arbeiten, das goldene Zeitalter wiederherzustellen, das durch den vorzeitigen Sturz seiner Familie in Ungnade gefallen ist.;;Los Komneno han perdido el Trono Imperial, y Bizancio está cayendo junto con ellos. Los nuevos Reinos de Serbia y Bulgaria han declarado la independencia del yugo Bizantino, los Sultanes Seléucidas del Rum presionan las fronteras de Anatolia, y un independiente Balá III reina en Hungría-Croacia. Todos los sueños de Manuel Komneno se han extinguido, pero este es un momento de oportunidad, para aquellos capaces de verlo. Alexios Komneno, un infante miembro de la casa real de la dinastía Komneno, reina en Trebisonda. Si puede juntar suficiente apoyo para presionar su derecho al trono Bizantino, el joven Komenno, con suficiente trabajo, podría recuperar la edad dorada de su familia.;;;;;;;;;x
BM_SICILY;Richard and Philippe;Richard et Philippe;Richard und Philippe;;Richard and Philippe;;;;;;;;;x
