#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_FemRule_100;My Daughter is my Heir;;Meine Tochter ist mein Erbe;;;;;;;;;;;x
EVTDESC_FemRule_389;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and not long after you learned that [FromFrom.GetSheHe] was attempting to bribe away your supporters. Thankfully, you acted quickly enough, and stoked their outrage to the point that now you have even more supporters that before. [From.GetFirstName] is finished.[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and not long after you learned that [FromFrom.GetSheHe] was attempting to bribe away your supporters. Thankfully, you acted quickly enough, and stoked their outrage to the point that now you have even more supporters that before. [From.GetFirstName] is finished.;;[FromFrom.GetTitledFirstName] hat kürzlich [From.GetFirstName] besucht, und nicht lange danach haben Sie erfahren, dass [From.GetSheHe] versucht hat, Ihre Anhänger zu bestechen. Zum Glück haben Sie schnell genug gehandelt und ihre Empörung so weit geschürt, dass Sie jetzt sogar noch mehr Unterstützer haben als zuvor. [From.GetFirstName] ist am Ende. [FromFrom.GetTitledFirstName] hat vor kurzem [From.GetFirstName] besucht, und nicht lange danach haben Sie erfahren, dass [FromFrom.GetSheHe] versucht hat, Ihre Unterstützer zu bestechen. Zum Glück haben Sie schnell genug gehandelt und ihre Empörung so weit geschürt, dass Sie jetzt sogar noch mehr Unterstützer haben als zuvor. [From.GetFirstName] ist erledigt.;;;;;;;;;;;x
EVTDESC_FemRule_390;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and not long after you learned [FromFrom.GetSheHe] was touring the countryside, visiting vassals and drumming up support for [From.GetFirstName]. You attempted to intervene, but it was too late. [From.GetFirstName] has too much support for her cause now. Your plan is done.;;[FromFrom.GetTitledFirstName] hat vor kurzem [From.GetFirstName] besucht, und nicht lange danach habt Ihr erfahren, dass [FromFrom.GetSheHe] durch die Lande reiste, um Vasallen zu besuchen und um Unterstützung für [From.GetFirstName] zu werben. Ihr habt versucht, einzugreifen, aber es war zu spät. [From.GetFirstName] hat jetzt zu viel Unterstützung für ihre Sache. Ihr Plan ist gescheitert.;;;;;;;;;;;x
EVTDESC_FemRule_391;[FromFrom.GetTitledFirstName] recently visited [From.GetFirstName], and not long after you learned [FromFrom.GetSheHe] was touring the countryside, visiting vassals and drumming up support for [From.GetFirstName]. Whatever they thought to do, it failed. Many of the vassals are laughing at her expense, and you're laughing along with them. It was a nice try, feeble as it was.;;[FromFrom.GetTitledFirstName] besuchte kürzlich [From.GetFirstName], und nicht lange danach erfuhren Sie, dass [FromFrom.GetSheHe] durch das Land reiste, um Vasallen zu besuchen und um Unterstützung für [From.GetFirstName] zu werben. Was auch immer sie vorhatten, es ist fehlgeschlagen. Viele der Vasallen lachen auf ihre Kosten, und Ihr lacht mit ihnen. Es war ein netter Versuch, so schwach er auch war.;;;;;;;;;;;x
EVTDESC_FemRule_392;[FromFromFrom.GetTitledFirstName]'s plan worked. Already [From.GetFirstName] is seen far less around [Root.Capital.GetName], and when he is it is spent sulking. You have no illusions that he might not try again someday, but for now [From.GetFirstName]'s ambitions have been ended.;;Der Plan von [FromFromFrom.GetTitledFirstName] hat funktioniert. Schon jetzt sieht man [From.GetFirstName] viel seltener in der Nähe von [Root.Capital.GetName], und wenn, dann schmollt er. Sie machen sich keine Illusionen, dass er es nicht eines Tages wieder versuchen könnte, aber für den Moment sind die Ambitionen von [From.GetFirstName] beendet.;;;;;;;;;;;x
EVTOPTA_FemRule_392;What a relief!;;Was für eine Erleichterung!;;;;;;;;;;;x
EVTDESC_FemRule_393;It worked. You went to [FromFrom.Capital.GetName] and came up with a plan to stop [From.GetTitledFirstName] from taking over [FromFrom.GetFirstName]'s lands, and while your efforts won't win you any favor with the man they did stop his ambitions cold. [FromFrom.GetFirstName] was incredibly grateful.;;Es hat funktioniert. Du bist zu [FromFrom.Capital.GetName] gegangen und hast dir einen Plan ausgedacht, um [From.GetTitledFirstName] daran zu hindern, die Ländereien von [FromFrom.GetFirstName] zu übernehmen, und obwohl du dir mit deinen Bemühungen nicht die Gunst des Mannes sichern konntest, haben sie seine Ambitionen kaltgestellt. [From.GetFirstName] war unendlich dankbar.;;;;;;;;;;;x
EVTDESC_FemRule_394;It was not enough. [FromFromFrom.GetTitledFirstName] did what [FromFromFrom.GetSheHe] could, but [From.GetFirstName] caught wind of the plan too quickly and was able to counter it. Indeed, he stoked enough outrage that now he has even more support than before. Alas, there is nothing to be done now but give in to his demands.;;Aber das war noch nicht genug. [FromFromFrom.GetTitledFirstName] tat, was [FromFromFrom.GetSheHe] konnte, aber [From.GetFirstName] bekam zu schnell Wind von dem Plan und konnte ihn kontern. Er schürte sogar so viel Empörung, dass er jetzt noch mehr Unterstützung hat als zuvor. Leider kann man jetzt nichts weiter tun, als seinen Forderungen nachzugeben.;;;;;;;;;;;x
EVTOPTA_FemRule_394;That bastard!;;Dieser Mistkerl!;;;;;;;;;;;x
EVTDESC_FemRule_395;You went to [FromFrom.Capital.GetName] and came up with a plan to stop [From.GetTitledFirstName] from taking over [FromFrom.GetFirstName]'s lands, but in the end it was not enough. [From.GetFirstName] caught wind of the effort and intervened, stoking enough outrage so that now he has even more support than before. [FromFrom.GetFirstName] is left with no recourse but to give in.;;Ihr seid zu [FromFrom.Capital.GetName] gegangen und habt einen Plan ausgearbeitet, um [From.GetTitledFirstName] daran zu hindern, die Ländereien von [FromFrom.GetFirstName] zu übernehmen, aber am Ende hat es nicht gereicht. [From.GetFirstName] bekam Wind von den Bemühungen und mischte sich ein und schürte so viel Empörung, dass er jetzt noch mehr Unterstützung hat als zuvor. [FromFrom.GetFirstName] bleibt nichts anderes übrig, als sich geschlagen zu geben.;;;;;;;;;;;x
EVTOPTA_FemRule_395;I'm sorry, [FromFrom.GetFirstName], I did what I could;;Es tut mir leid, [FromFrom.GetFirstName], ich habe getan, was ich konnte.;;;;;;;;;;;x
EVTDESC_FemRule_396;You can tell that [From.GetFirstName] is not pleased, but there is nothing more she can do. No-one else can help her, and the laws of [From.PrimaryTitle.GetName] are clearly on your side. By the right of Jure Uxoris, her titles are yours.;;Man merkt, dass [From.GetFirstName] nicht zufrieden ist, aber sie kann nichts mehr tun. Niemand sonst kann ihr helfen, und die Gesetze von [From.PrimaryTitle.GetName] sind eindeutig auf Eurer Seite. Nach dem Recht von Jure Uxoris gehören ihre Titel Euch.;;;;;;;;;;;x
EVTOPTA_FemRule_396;It is done;;Es ist vollbracht;;;;;;;;;;;x
EVTDESC_FemRule_397;The principle of Jure Uxoris states that a husband owns the titles of his wife by right, and the laws of [From.PrimaryTitle.GetName] support it. Thus [FromFrom.GetTitledFirstName] has stepped forward and demanded [From.GetTitledFirstName]'s titles become his—and he cannot be denied. As of today, he has officially usurped his wife's lands.;;Der Grundsatz von Jure Uxoris besagt, dass ein Ehemann die Titel seiner Frau von Rechts wegen besitzt, und die Gesetze von [From.PrimaryTitle.GetName] unterstützen dies. Daher ist [FromFrom.GetTitledFirstName] vorgetreten und hat gefordert, dass die Titel von [From.GetTitledFirstName] seine werden - und das kann ihm nicht verweigert werden. Mit dem heutigen Tag hat er offiziell die Ländereien seiner Frau an sich gerissen.;;;;;;;;;;;x
EVTOPTA_FemRule_397;What? This is an outrage!;;Was ist das? Das ist ein Skandal!;;;;;;;;;;;x
EVTOPTB_FemRule_397;If that is how it must be, I will not oppose it;;Wenn es so sein muss, werde ich mich nicht dagegen wehren.;;;;;;;;;;;x
EVTDESC_FemRule_398;You begin exerting more and more influence in [From.PrimaryTitle.GetName]. You supersede [From.GetFirstName]'s commands, and give orders to the guardsmen...and you can tell they are almost relieved that a man is doing so. The council reports to you almost before they report to [From.GetFirstName]. Either she acts soon or she will have no hope of stopping you from usurping her titles.;;Ihr fangt an, mehr und mehr Einfluss in [From.PrimaryTitle.GetName] auszuüben. Ihr setzt die Befehle von [From.GetFirstName] außer Kraft und gebt den Gardisten Befehle ... und Ihr merkt, dass sie fast erleichtert sind, dass ein Mann dies tut. Der Rat meldet sich bei Euch, bevor er sich bei [From.GetFirstName] meldet. Entweder sie handelt bald, oder sie wird keine Chance haben, Euch davon abzuhalten, ihre Titel an sich zu reißen.;;;;;;;;;;;x
EVTOPTA_FemRule_398;Let's see what she does...;;Mal sehen, was sie tut...;;;;;;;;;;;x

EVTTOOLTIP_FemRule_111;I am ready to be acknowledged as my father's legitimate heir.;;Ich bin bereit, mich als rechtmäßiger Erbe meines Vaters anerkennen zu lassen.;;;;;;;;;;;x
EVTTOOLTIP_FemRule_140;Tell your liege of your retirement.;;Sagt Eurem Lehnsherrn, dass Ihr Euch zurückzieht.;;;;;;;;;;;x
EVTTOOLTIP_FemRule_145;Request to be your lady's champion.;;Bittet darum, der Champion Eurer Dame zu sein.;;;;;;;;;;;x
EVTTOOLTIP_FemRule_146;Your champion hears of the request.;;Euer Meister erfährt von der Bitte.;;;;;;;;;;;x
