#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Landed titles
c_faereyar_adj;Faroese;Féroé;Färöer;;Feroés;x
yazidi_DESC;Yazidism is an ancient faith that incorporates elements of both Zoroastrianism as well as Muslim and Gnostic religions in syncretic fashion. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually compared by Christians and Muslims to Satan--a fact which has made Yazidis be declared 'devil-worshipers'.;;"Der Jesidentum ist ein alter Glaube, der sowohl Elemente des Zoroastrismus als auch der muslimischen und gnostischen Religionen in synkretistischer Weise enthält. Die Jesiden glauben, dass Gott die Welt erschaffen und sieben Engeln die Verantwortung überlassen hat, von denen der Pfauenengel, Malek Taus oder Shaytan, ein Wesen ist, das von Christen und Muslimen gewöhnlich mit Satan verglichen wird - eine Tatsache, die dazu geführt hat, dass die Jesiden als "Teufelsanbeter" bezeichnet werden.;;;x
yazidi_FEATURES;§Y*§! Yazidis go on a pilgrimage to Lalish, north of Mosul\n§Y*§! Instead of a great feast, Yazidis celebrate the Circulation of the Peacock festival\n§Y*§! Believe in reincarnation\n§Y*§! Young Yazidi men may be declared koasasa, or the reincarnation of one of the Seven Archangels\n§Y*§! A powerful enough ruler may declare the faith to be no longer a heresy;; §Y*§! Yeziden pilgern nach Lalish, nördlich von Mosul\n§Y*§! Anstelle eines großen Festes feiern die Jesiden das Fest des Pfauenumlaufs\n§Y*§! Sie glauben an die Reinkarnation\n§Y*§! Junge jesidische Männer können zu koasasa erklärt werden, zur Reinkarnation eines der Sieben Erzengel\n§Y*§! Ein Herrscher, der mächtig genug ist, kann erklären, dass der Glaube nicht länger eine Ketzerei ist.;;es;x
## Event modifiers
holding_grand_hunt;Hosting a Grand Hunt;;Eine große Jagd veranstalten;;;x
## Focuses
focus_scholarship_desc;[This.GetTitledFirstName] buries [This.GetPossPronoun] nose in dusty old tomes, seeking knowledge and learning. Unlocks the §YBuild Observatory§! decision - the starting point for your studies.;;;;;x
focus_war_title;Combat;;Kämpfen;;Combate;x
WAR_FOCUS;Combat Focus;Intérêt de combat;Kampffokus;;Foco de Combate;x
## UI
# Adjusted to account for Plus gameplay changes, and/or to correct unclear/incorrect text
alert_adventurer_threat_delayed;The following adventurers are targeting me:\n§RThey may act sooner than the date listed,\nif they have gathered sufficient support!§!\n\n$LIST$;Ces aventuriers m'ont pris pour cible :\n§RIls peuvent agir plus tôt que la date indiquée,\ns'ils ont rassemblé un soutien suffisant!§!\n\n$LIST$;Die folgenden Abenteurer haben mich zum Ziel auserkoren:\n§RSie können auch früher als zum angegebenen Datum handeln,\n\natürlich nur, wenn sie genügend Unterstützung gesammelt haben!§!\n\n$LIST$;;Los siguientes aventureros me han elegido como objetivo:\n§R¡Pueden actuar antes que la fecha enumerada, si han reunido suficiente apoyo!§!\n$LIST$;x
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! must not marry an infidel;§Y[GetTitledFirstName]§! ne se doit pas marrier avec un infidèle;§Y[GetTitledFirstName]§! darf keine Ungläubige heiraten;;§Y[GetTitledFirstName]§! no debe casarse con un infiel.;x
DECADENCE_DESC;All adult [muslim.GetGroupName] men below the rank of King risk acquiring the §YDecadent§! trait, especially those of low character. The more decadent members of a dynasty who exist in a realm (this applies to any realm where a ruler has no member of their dynasty as a ruler above them), the more decadent the dynasty will be regarded overall by other Muslims. Decadent dynasty members outside of the ruler's realm affect nothing. Ways to remove decadence include:\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!;Tout [muslim.GetGroupName] adulte qui n'a pas au moins le rang de roy risque de devenir §YDécadent§!, en particulier s'il fait montre d'un faible caractère. Les membres plus décadents d'une dynastie qui existent dans un royaume (cela s'applique tout domaine où un dirigeant n'a pas de membre de sa dynastie en tant que souverain au-dessus d'eux), plus la dynastie est décadente dans l'ensemble par d'autres musulmans. Les membres décadents de la dynastie en dehors du royaume du souverain n'affectent rien. Pour freiner la décadence, voire la réduire, vous pouvez :\n§G*§! Convaincre les membres décadents de la dynastie d'abandonner leur conduite pécheresse\n§G*§! Bannir ou tuer des membres décadents de la dynastie\n§G(Le menu de religion donne la liste des membres décadents dans la dynastie)§!;Alle erwachsenen [muslim.GetGroupName]en Männer unterhalb des Ranges eines Königs riskieren, die Eigenschaft §YDekadent§! zu erwerben, insbesondere diejenigen mit niedrigem Charakter. Je mehr dekadente Mitglieder einer Dynastie in einem Reich existieren (dies gilt für jedes Reich, in dem ein Herrscher kein Mitglied seiner Dynastie als Herrscher über sich hat), desto dekadenter wird die Dynastie insgesamt von anderen Muslimen angesehen. Dekadente Dynastiemitglieder außerhalb des Reiches des Herrschers haben keinen Einfluss. Zu den Möglichkeiten, Dekadenz zu beseitigen, gehören:\n§G*§! Erfolgreiche Überredung dekadenter Dynastiemitglieder, ihr sündiges Verhalten aufzugeben.\n§G*§! Verbannen oder Töten von dekadenten Dynastiemitgliedern\n§G(Die Religionsansicht enthält eine Liste der dekadenten Dynastiemitglieder.)§!;;Todos los hombres [muslim.GetGroupName] por debajo del rango de rey corren el riesgo de conseguir el rasgo §Ydecadente§!. Los miembros más decadentes de una dinastía que existen en un reino (esto se aplica a cualquier reino donde un gobernante no tenga miembro de su dinastía como gobernante por encima de ellos), más decadente será considerada en general por otros musulmanes. Los miembros de la dinastía decadente fuera del reino del gobernante no afectan nada. Modos de parar o reducir la decadencia incluyen:\n§G*§!Convencer a miembros decadentes de la dinastía a que renuncien a sus modos de vida pecaminosos\n§G*§! Encarcelar, desterrar o matar a miembros decadentes de la dinastía\n§G(La vista de religión contienen una lista de miembros decadentes de la dinastía)§!;x
HAS_LANDED_TITLE;Holds the title of $TITLE|Y$;Tient le titre de $TITLE|Y$;Hält den Titel $TITLE|Y$;;Posee el título de $TITLE|Y$;x
MAPMODE_TRADE_ZONES_DESC;All Trade Zones, separated by their owners. Provinces on Major Trade Routes are shown striped in yellow if active or red if blocked by siege or occupation.;Toutes les zones marchandes, regroupées par propriétaire. Les provinces sur les principaux routes commerciales possèdent des rayures jaunes si elles sont actives et des rayures blanches si elles sont bloquées par un siège ou une occupation.;Dieser Kartenmodus zeigt alle Handelszonen, getrennt nach Besitzer. Provinzen auf Haupthandelsrouten werden gestreift dargestellt. Gelbe Gebiete sind aktiv, während rote Gebiete durch Belagerung oder feindliche Besetzung blockiert sind.;;Todas las zonas de comercio, separadas por sus dueños. Las provincias de las grandes rutas comerciales aparecen con rayas amarillas si están activas o rojas si están bloqueadas por sitio u ocupación.;x
REL_NO_MATRI_MARRIAGES_DESC;Matrilineal marriages are not allowed under Agnatic succession;Les mariages matrilinéaires ne sont pas autorisés sous la succession agnatique;Matrilineares Heiraten ist nicht gestattet unter agnatischer Nachfolge;;No se permiten los matrimonios matrilineales bajo sucesión agnática;x
REL_PENTARCHY_DESC;Multiple Patriarchs - the five Pentarchs, or the three Petrine Sees;Plusieurs patriarches - la Pentarchie, ou les trois sièges pétrines;Mehrere Patriarchen - die fünf Pentarchen oder die drei Petrusämter;;Múltiples patriarcas: los cinco Patriarcas, o las tres sedes episcopales petrinas;x
REL_SECULAR_HEAD_DESC;$TITLE_NAME$ may be held by a secular ruler, and can be destroyed or created normally;Le titre de $TITLE_NAME$ peut être détenu par un souverain séculier et peut être détruit ou créé normalement;$TITLE_NAME$ kann von einem weltlichen Herrscher gehalten werden und kann ganz normal abgeschafft oder geschaffen werden;;$TITLE_NAME$ lo puede poseer un gobernante secular y puede ser destruido o creado normalmente;x
TECH_NOBLE_CUSTOMS_DESC;Increases taxation in castle holdings;Augmente la taxation dans les propriétés des chateaux;Erhöht die Besteuerung auf Burgbesitztümer;;Aumenta los impuestos a las propiedades de los castillos;x
TECH_POPULAR_CUSTOMS_DESC;Increases taxation in city holdings;Augmente la taxation dans les propriétés des cités;Erhöht die Besteuerung auf städtischen Betrieben;;Aumenta los impuestos a las propiedades de las ciudades;x
TECH_RELIGIOUS_CUSTOMS_DESC;Increases taxation in temple holdings;Augmente la taxation dans les propriétés des temples;Erhöht die Besteuerung auf Tempelbetrieben;;Aumenta los impuestos a las propiedades de los templos;x
WEAK_CLAIM_DESC;On succession, Weak Claims are given to children who are not second or third in the line of succession. Weak Claims can only be pressed against:\n§Y* Female Rulers and one of\n   * The title is Agnatic or Agnatic-Cognatic\n   * A ruler without Gender Equality and a Claimant with Gender Equality\n* Male Rulers if the title is Enatic or Enatic-Cognatic\n* Regencies\n* Titles already being contested in a Claim or Succession War\n* Titles the Claimant is second or third in line to inherit\n* Kingdom and Empire titles held by rulers with the Uncrowned Trait§!;Lors d'une succession, les faibles revendications sont attribuées aux enfants qui ne seraient ni deuxièmes ni troisièmes dans la ligne de succession. Les faibles revendications peuvent être déposées : \n§Y* Des seigneurs féminins et une des éléments suivants\n	* Le titre est agnatique ou utérine-cognatique\n	* Un seigneur sans égalité des sexes et un prétendant avec l'égalité des sexes\n* Des dirigeants masculins si le titre est enatique ou enatique-cognatique\n* Des régences\n* Des titres déj contestés dans une guerre de succession ou de revendication\n* Des titres le demandeur est le deuxième ou le troisième en ligne pour hériter\n* Des titres des Royaumes et des Empires détenus par des seigneurs avec le trait Sans couronnement§!;Bei der Erbfolge werden Schwache Ansprüche nur den Kindern gewährt, die nicht an zweiter oder dritter Stelle der Erbfolge stehen. Schwache Ansprüche können nur erhoben werden gegen:\n* Weibliche Herrscher und einer der folgenden\n	* Der Titel ist agnatisch oder agnatisch-kognatisch\n	* Ein Herrscher ohne Geschlechtsgleichheit und ein Antragsteller mit Geschlechtsgleichheit\n* Männliche Herrscher, wenn der Titel enatisch oder enatisch-kognatisch ist\n* Regenten\n* Titel die bereits in einem Anspruch- oder Erbfolgekrieg angefochten werden\n* Titel bei denen der Anspruchsteller zweiter oder dritter in der Erbfolge ist\n* Königreich und Empire -Titel, die von Herrschern mit den Ungekrönt Merkmalen gehalten werden;;A la hora de la sucesión, los hijos que no son segundos o terceros en la línea de sucesión, tienen derechos débiles. Estos solo se pueden reclamar contra:\n§Y* Mujeres gobernantes y una de las siguientes\n	* El título es agnático o agnático-cognático\n	* Una regla sin igualdad de género y un reclamante con igualdad de género\n* Gobernantes masculinos si el título es enatico o enático-cognático\n* Regencias\n* Títulos ya se están disputados en una Guerra de derechos o sucesión\n* Títulos en los que el pretendiente es segundo o tercero en la línea de sucesión\n* Títulos de reino e imperio en tenido por gobernantes con el rasgo No coronado§!;x
# TODO: Verify if gameplay still corresponds with these altered loc keys, and if vanilla loc keys indeed no longer apply
EXECUTE_IMPRISONED_INTERACTION_1;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;Die Verwendung dieser Option erhöht die Tyrannei um §R5§! für einen Höfling oder §R10§! für einen Landvasallen.;;;x
EXECUTE_IMPRISONED_INTERACTION_6;This will increase your dynasty's decadence by §R1§!.;;Dies erhöht die Dekadenz deiner Dynastie um §R1§!;;;x
EXILE_IMPRISONED_INTERACTION_2;Banishing a vassal ruler for no valid reason is seen as tyrannical, which will increase your tyranny by §R20§!.;;Die Verbannung eines Vasallenherrschers ohne triftigen Grund wird als tyrannisch angesehen, was deine Tyrannei um §R20§! erhöht.;;;x
IMPRISON_INTERACTION_1;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;Die Nutzung dieser Option erhöht deine Tyrannei um §R5§! für einen Höfling oder §R10§! für einen Landvasallen.;;;x
## Job actions
action_organize_spies_desc;Have your [GetSpymasterName] focus [Root.job_spymaster.GetHerHis] efforts on expanding the [Root.PrimaryTitle.GetAdjective] spy network. Spy networks can be used to assist and defend against plots, as well as to assist in the Spy On action, but beware: your [GetSpymasterName] will build up [Root.job_spymaster.GetHerHis] own personal network as [Root.job_spymaster.GetSheHe] builds up yours. Do you trust [Root.job_spymaster.GetHerHim] enough to make [Root.job_spymaster.GetHerHim] stronger?\n\nFactors contributing to success:\n§Y*§! Your [GetSpymasterName]'s Intrigue\n§Y*§! Your Intrigue\n§Y*§! Your [GetSpymasterName]'s traits\n§Y*§! Tribal and Nomadic rulers have a more difficult time with this\n§Y*§! The higher the Spy Network raises, the more difficult it will be to raise, and the higher the chance of a setback\n;;Ihr [GetSpymasterName] soll sich mit [Root.job_spymaster.GetHerHis] auf den Ausbau des [Root.PrimaryTitle.GetAdjective] Spionagenetzes konzentrieren. Spionagenetzwerke können zur Unterstützung und Abwehr von Verschwörungen sowie zur Unterstützung der Spy-On-Aktion eingesetzt werden, aber Vorsicht: Ihr [GetSpymasterName] wird [Root.job_spymaster.GetHerHis] eigenes persönliches Netzwerk aufbauen, während [Root.job_spymaster.GetSheHe] Ihres aufbaut. Vertrauen Sie [Root.job_spymaster.GetHerHim] genug, um [Root.job_spymaster.GetHerHim] zu stärken?\n\nFaktoren, die zum Erfolg beitragen:\n§Y*§! Ihre [GetSpymasterName]'s Intrige\n§Y*§! Deine Intrige\n§Y*§! Deine [GetSpymasterName]' Eigenschaften\n§Y*§! Stammes- und nomadische Herrscher haben es damit schwerer\n§Y*§! Je höher das Spionagenetz aufsteigt, desto schwieriger wird der Aufstieg und desto höher ist die Wahrscheinlichkeit eines Rückschlags.;;;x
action_settle_tribe;Settle Province;;Provinz besiedeln;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to bring more of your people into the province to settle its lands, increasing the chance its culture will change to §Y[Culture.GetName]§!, if it is not already, or that a city will be built there if it is. (NOTE: The latter is only available to Tribal rulers.);;Weisen Sie Ihren [GetTreasurerName] an, mehr Ihrer Leute in die Provinz zu bringen, um deren Ländereien zu besiedeln, wodurch sich die Chance erhöht, dass die Kultur zu §Y[Culture.GetName]§! wechselt, wenn sie es nicht bereits ist, oder dass dort eine Stadt gebaut wird, wenn sie es ist. (HINWEIS: Letzteres ist nur für Stammesfürsten möglich.);;;x
action_uncover_plots_desc;Dispatch your [GetSpymasterName] to undermine vassals with their fellow faction members or discourage them from being part of factions altogether. This will also increase the likelihood of uncovering the plots of local nobles.;;Schicke deinen [GetSpymasterName] los, um Vasallen bei ihren anderen Fraktionsmitgliedern zu untergraben oder sie davon abzuhalten, überhaupt einer Fraktion anzugehören. Dies erhöht auch die Wahrscheinlichkeit, dass die Verschwörungen der lokalen Adligen aufgedeckt werden.;;;x
## Sunset Invasion events
EVTDESC_SSI_004;Thousands of exotic ships have arrived in [first_aztec_invasion_target.SeaZone.GetName], spewing out numberless hordes of ululating warriors in weird armor sporting feathers and bone. These invaders from beyond the sunset worship hellish demon gods, sacrificing the populations of entire towns on altars erected on top of pyramid shaped wooden edifices. They cut their victims' hearts out, carefully flay them, and let their devil priests wear the skins for many days...;Des bateaux exotiques sont arrivés par milliers [first_aztec_invasion_target.SeaZone.GetName] et ils y débarquent d'innombrables guerriers hurlant et portant d'étranges armures ornées de plumes et d'ossements. Ces envahisseurs venus d'au-del du crépuscule vénèrent des dieux démons infernaux en sacrifiant les habitants de villes entières sur des autels érigés sur des bâtiments de bois en forme de pyramides. Ils arrachent le coeur de leurs victimes, ils dépècent les corps soigneusement, et leurs prêtres du diable portent ensuite ces peaux pendant plusieurs jours...;Tausende bedrohlicher Schiffe sind bei [first_aztec_invasion_target.SeaZone.GetName] gelandet und entladen zahllose Horden brüllender Krieger in seltsamen, mit Federn und Knochen verzierten Rüstungen. Diese Eindringlinge von jenseits des Sonnenuntergangs huldigen höllischen Dämonengöttern und opfern die Bevölkerung ganzer Städte auf Altären, die auf der Spitze von hölzernen Pyramiden errichtet wurden. Sie schneiden ihren Opfern das Herz heraus, häuten sie fachkundig und lassen ihre teuflischen Priester die Haut ihrer Opfer etliche Tage lang tragen...;;Miles de barcos exóticos han llegado a [first_aztec_invasion_target.SeaZone.GetName], arrojando innumerables hordas de ululantes guerreros. Estos invasores, que lucen extrañas armaduras de caza hechas con huesos y plumas, provienen de más allá del ocaso, adoran dioses-demonios infernales y sacrifican la población de ciudades enteras en altares erigidos en la cima de edificios de madera con forma piramidal. A sus víctimas les arrancan el corazón, los despellejan cuidadosamente y entregan las pieles a sus sacerdotes para que las lleven como vestimenta durante días.;x
EVTDESC_SSI_006;Another huge fleet of the bloodthirsty Aztecs has been sighted in [aztec_second_wave.SeaZone.GetName]. The populace is fleeing in fear of the charnel altars of the foreign demon gods. The dreadful lord of the invaders has allegedly taken a vow to conquer the whole world in the name of Huitzilopochtli, the Aztec god of the sun, and of war...;Une autre immense flotte d'Aztèques assoiffés de sang a été aperçue en [aztec_second_wave.SeaZone.GetName]. Les habitants fuient, terrorisés par les autels de sacrifice aux dieux démoniaques étrangers. L'effroyable Roi des envahisseurs aurait fait le serment de conquérir le monde entier au nom de Huitzilopochtli, le dieu aztèque du soleil, et de la guerre...;Eine weitere gewaltige Flotte der blutrünstigen Azteken wurde bei [aztec_second_wave.SeaZone.GetName] gesichtet. Die Bevölkerung flieht in Todesangst vor den Knochenaltären der fremden, dämonischen Götter. Der unsägliche Anführer der Invasoren hat angeblich einen Eid geschworen, die gesamte Welt im Namen von Huitzilopochtli, dem aztekischen Sonnengott, und im Namen des Krieges zu unterjochen...;;Otra enorme flota de sanguinarios aztecas ha sido avistada en [aztec_second_wave.SeaZone.GetName]. La población huye por miedo a los altares-osario de los dioses-demonio extranjeros. Supuestamente, el atroz señor de los invasores ha hecho la promesa de conquistar el mundo entero en nombre de Huitzilopochtli, el dios azteca del sol, y de la guerra...;x
## Obsolete, partially pre CK2?
alert_build_province_improvement_instant;§YYou can build province improvements!§!;§YVous pouvez procéder des améliorations provinciales !§!;§YIhr könnt Provinzverbesserungen bauen!§!;;§YPodéis construir mejoras de la provincia§!;x
alert_revoltrisk_in_provinces_delayed;The following provinces run a risk of having a revolt:\n$LIST$;Les comtés suivants courent un risque de révolte.\n$LIST$.;In den folgenden Provinzen besteht die Gefahr einer Revolte:\n$LIST$;;Las siguientes provincias corren el riego de sufrir una rebelión.\n$LIST$;x
desc_foreign_rebels;A less then friendly power has used agents to identify important people in this province who are unhappy with our rule. They have then funnelled money to these people so that they can turn this unhappiness into action. The revolt risk is now slightly higher.;Une puissance hostile a utilisé des agents pour identifier les mécontents parmi les personnages importants de cette province. Elle a ensuite financé ces gens pour leur permettre d'agir en conséquence. Le risque de révolte est désormais légèrement plus élevé.;Eine nicht gerade freundliche Macht hat Agenten eingesetzt, um wichtige Leute in dieser Provinz ausfindig zu machen, die mit unserer Herrschaft unzufrieden sind. Dann haben sie diesen Leuten Geld zukommen lassen, damit sie ihre Unzufriedenheit in Taten umsetzen können. Das Risiko einer Revolte ist nun etwas höher.;;Una potencia poco amistosa ha enviado a sus agentes a buscar a personas importantes de la provincia que estén en desacuerdo con nuestro gobierno. Además, les han proporcionado fondos para que puedan transformar su descontento en hechos. El riesgo de rebelión es algo más alto.;x
ALREADY_BUILT;The province already has this building;La province a déj ce bâtiment;Die Provinz hat bereits dieses Gebäude;;La provincia ya tiene este edificio.;x
BARB_CLIENT_REQ_DESC;Shall we offer the barbarians $NAME$ the land that they now hold, to rule in our name? \n This will create the new country of $COUNTRY$ in the provinces $LIST$. $COUNTRY$ shall pay tribute to us and be our ally.;Devons-nous offrir aux barbares $NAME$ les terres qu'ils contrôlent présent afin qu'ils les dirigent en notre nom ? \n Cela créera le nouveau pays de $COUNTRY$ dans les provinces $LIST$. $COUNTRY$ nous paiera un tribut et sera notre allié.;Sollen wir den Barbaren $NAME$ das Land anbieten, das sie jetzt besitzen, um in unserem Namen zu herrschen? \n Dadurch wird in den Provinzen $LIST$ das neue Land $COUNTRY$ entstehen. $COUNTRY$ wird uns Tribut zahlen und unser Verbündeter sein.;;¿Ofrecemos a los bárbaros de $NAME$ la tierra que ahora controlan para que la gobiernen en nuestro nombre?\nEsto creará el nuevo país de $COUNTRY$ en las provincias de $LIST$. $COUNTRY$ nos pagará tributo y será nuestro aliado.;x
DIP_SELECT_PROVINCE;Select this province for trading.;Sélectionnez cette province pour faire du commerce.;Wählen Sie diese Provinz für den Handel aus.;;Seleccionar esta provincia para comerciar.;x
DIP_NO_ROUTE_DELAYED;A trade route can be traced over both land and sea.\nTo trace a trade route over a land province the province has to have a road.\nFor a trade route to enter or exit the ocean, a port is needed.;Une route commerciale peut être terrestre et maritime.\nPour tracer une route commerciale terrestre, la province doit avoir une route.\nPour qu'une route commerciale entre ou sorte de la mer, un port est nécessaire.;Eine Handelsroute kann sowohl über das Land als auch über das Meer verlaufen.\nUm eine Handelsroute über eine Landprovinz zu verlaufen, muss die Provinz über eine Straße verfügen.\nFür eine Handelsroute, die in den Ozean hinein- oder hinausführt, wird ein Hafen benötigt.;;Una ruta se puede establecer por tierra y por mar.\nPara trazar una ruta comercial por una provincia de tierra, esta ha de disponer de una carretera.\nPara que una ruta comercial entre o salga del océano, es necesario un puerto.;x
DESECRATE_DESC;Attempt to desecrate a holy site and damage the religious prestige of a province.;Essayez de profaner un lieu saint et d'affaiblir le prestige religieux d'une province.;Versuch der Entweihung einer heiligen Stätte und Schädigung des religiösen Ansehens einer Provinz.;;Intentar profanar un santuario y dañar el prestigio religioso de una provincia.;x
HASCOMBAT;The province is embattled;La province est attaquée;Die Provinz ist umkämpft;;Hay combates en la provincia.;x
MORE_THAN_THREE_PROV;more than §Y3§! provinces.;plus de §Y3§! provinces.;mehr als §Y3§! Provinzen.;;más de §Y3§! provincias.;x
NO_CONTROL;We do not control this province;Nous ne contrôlons pas cette province;Wir kontrollieren diese Provinz nicht;;No controlamos esta provincia;x
PROV_REVOLT_INSTANT;The risk (checked each month) of a revolt in this province.;Risque de révolte (vérifié chaque mois) dans cette province.;Das Risiko (wird jeden Monat überprüft) einer Revolte in dieser Provinz.;;El riesgo de rebelión en esta provincia (se determina cada mes).;x
PROV_CULTURE;This province is mainly populated by $CULTURE$ people.;Cette province est principalement peuplé par des habitants de culture $CULTURE$.;Diese Provinz wird hauptsächlich von $CULTURE$-Leuten bewohnt.;;Esta provincia está poblada principalmente por miembros de la cultura $CULTURE$.;x
TRADEROUTEDESC;Creating a trade route will, in addition to generating money, give the benefits of the goods being traded to both provinces.;Outre les revenus qu'elle vous rapportera, la création d'une route commerciale vous permettra d'échanger des marchandises avec les autre provinces.;Das Anlegen einer Handelsroute bringt nicht nur Geld ein, sondern auch den Nutzen der gehandelten Waren für beide Provinzen.;;Crear una ruta comercial, además de proporcionar dinero, dará el beneficio de los productos intercambiados a ambas provincias comerciantes.;x
UNDERSIEGE;The province is under siege;La province est assiégée;Die Provinz wird belagert;;Están asediando la provincia.;x
HAVE_AT_LEAST_ONE_OWNED_NEIGHBORING_PROVINCE;Have at least one owned neighboring province;Possède au moins une province voisine;Mindestens eine Nachbarprovinz besitzen;;Tiene al menos una provincia limítrofe;x
HAVE_NO_OWNED_NEIGHBORING_PROVINCE;Have no owned neighboring provinces;Ne possède aucune province voisine;keine Nachbarprovinzen besitzen;;No tiene provincias limítrofes;x
HAVE_AT_LEAST_ONE_EMPTY_NEIGHBORING_PROVINCE;Have at least one empty neighboring province;Possède au moins une province voisine vide;Mindestens eine leere Nachbarprovinz haben;;Tiene al menos una provincia limítrofe vacía;x
HAVE_NO_EMPTY_NEIGHBORING_PROVINCE;Have no empty neighboring provinces;Ne possède aucune province voisine vide;Keine leeren Nachbarprovinzen haben;;No tiene provincias limítrofes vacías;x
HAVE_AT_LEAST_ONE_PROVINCE;Have at least one province;Possède au moins une province;Mindestens eine Provinz besitzen;;Tiene al menos una provincia;x
HAVE_NO_PROVINCES;Have no provinces;Ne possède aucune province;Keine Provinzen haben;;No tiene provincias;x
EMPTY_NEIGHBOR_PROVINCE_STARTS;Empty Neighbor Province;Province voisine vide;Leere Nachbarprovinz;;Provincia vecina vacía;x
LOCAL_TRADE_INCOME_MODIFIER;Local Production Value Modifier;;Lokaler Produktionswert-Modifikator;;;x
TRADE_INCOME_MODIFIER;Production Value Modifier;;Produktionswert-Modifikator;;;x
## Doesn't work anymore, deprecated in vanilla
APPOINT_REGENTS_OFF;You can no longer wage De Jure wars without a Ducal claim.\n;;Ihr könnt keine De-Jure-Kriege mehr führen, ohne einen herzoglichen Anspruch zu erheben.\n;;;x
APPOINT_REGENTS_ON;You can now wage De Jure wars without a Ducal claim.\n;;Ihr könnt nun De Jure Kriege ohne einen herzoglichen Anspruch führen.\n;;;x
ARRANGE_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Da §Y[ActorExtra.GetFirstName]§! der §Y[RecipientExtra.GetFirstName]'s§! $RELATION$ ist, wäre dies eine heilige Vereinigung, die den Vasallen gefällt.;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Da §Y[ActorExtra.GetFirstName]§! der §Y[RecipientExtra.GetFirstName]'s§! $RELATION$ ist, wäre dies eine heilige Vereinigung, die den Vasallen gefällt.;;;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§RWar is blocking this part of the §!$ROUTE|Y$§R. Provinces that are occupied or besieged will block the Trade Route downstream.§!\n;\n$ROUTE|Y$\n§RLa guerre bloque cette partie de la route §!$ROUTE|Y$§R. Les provinces occupées ou assiégées bloqueront la route commerciale en aval.§!\n;\n§RKrieg blockiert diesen Teil von §!$ROUTE|Y$§R. Provinzen, die besetzt oder belagert werden, blockieren die Handelsstraße flussabwärts.§!\n;;\n$ROUTE|Y$\n§RLa guerra está bloqueando esta parte de la ruta §!$ROUTE|Y$§R. Las provincias que están ocupadas o sitiadas bloquearán la ruta comercial aguas abajo.§!\n;x
INACTIVE_TRADE_ROUTE_MODIFIER;\nIf active, this Major Trade Route would give the following effects:\n$MODIFIER$\n\nTrade posts built in these provinces increase the modifier for all provinces. If some of these provinces are blocked (by siege or occupation), other provinces on this Major Trade ROute temporarily get a higher bonus as trade is redirected.;\nSi elle était active, cette route commerciale procurerait les effets suivants :\n$MODIFIER$\n\nLes comptoirs dans des provinces qu'elle traverse augmentent le modificateur de tous les provinces. Si certaines provinces de la route commerciale sont bloquées (par un siège ou une occupation), les autres provinces de la route commerciale reçoivent temporairement un bonus plus élevé en raison de la redirection des activités commerciales.;\nWenn aktiv hätte diese Handelsroute folgende Auswirkung:\n$MODIFIER$\n\nHandelsposten, die in einer Provinz entlang einer Handelsroute errichtet werden, erhöhen den Modifikator aller Provinzen. Wenn einige Provinzen der Handelsroute blockiert sind (besetzt oder belagert), erhalten andere Provinzen der Handelsroute vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nSi está activa, la ruta comercial da los siguiente efectos:\n$MODIFIER$\n\nLos puestos comerciales construidos en condados de rutas comerciales aumentan el modificador de todas las provincias. Si alguna provincia de la ruta comercial está bloqueada (por asedio u ocupación), el tráfico se redirigirá a otras provincias de la ruta, que recibirán temporalmente una bonificación mayor.;x
MAXIMUM_RAISABLE_LEVY;Levy at disposal due to martial skill and laws: §Y$VALUE$%§!;Levées disposition grâce aux lois et habileté martiale : §Y$VALUE$%§!;Abgaben, die aufgrund von Kriegspunkten und Gesetzen zur Verfügung stehen: §Y$VALUE$%§!;;Leva disponible merced a las leyes y habilidad marcial: §Y$VALUE$%§!;x
OFFER_MARRIGE_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Da §Y[ActorExtra.GetFirstName]§! der §Y[RecipientExtra.GetFirstName]'s§! $RELATION$ ist, wäre dies eine heilige Vereinigung, die den Vasallen gefällt.;;;x
