#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_exalted_1_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_2_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veult que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que [This.GetHerHis] nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_2_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_3_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veult que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que [This.GetHerHis] nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_3_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_exalted_4_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veult que son nom figure à jamais dans les annales de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que [This.GetHerHis] nombre viva para siempre en los anales de la historia.;;;;;;;;;x
obj_become_exalted_4_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
obj_become_saint_desc;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;;;;;;;;;x
obj_become_saint_title;Become a Saint;Become a Saint;Become a Saint;;Become a Saint;;;;;;;;;x
obj_become_independent_desc;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;[This.GetTitledFirstName] ne veult plus se soumettre à [This.GetHerHis] suzerain(e) tyrannique.;[This.GetTitledFirstName] verlangt unabhängigkeit von der Tyrannei [This.GetHerHis] .;;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;;;;;;;;;x
obj_become_independent_title;Become Independent;Devenir indépendant;Werdet unabhängig;;Become Independent;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] desires a King's crown.;[This.GetTitledFirstName] désire une couronne royale.;[This.GetTitledFirstName] verdient die Krone;;[This.GetTitledFirstName] desires a King's crown.;;;;;;;;;x
obj_become_king_title;Become King;Devenir Roi;König werden;;Become King;;;;;;;;;x
obj_become_multiduke_desc;[This.GetTitledFirstName] seeks to become a powerful Grand Duke with a second ducal title;[This.GetTitledFirstName] souhaite devenir un puissant Grand-Duc avec un second titre ducal;[This.GetTitledFirstName] seeks to become a powerful Grand Duke with a second ducal title;;[This.GetTitledFirstName] seeks to become a powerful Grand Duke with a second ducal title;;;;;;;;;x
obj_become_multiduke_title;Become a Grand Duke;Devenir un Grand-Duc;Become a Grand Duke;;Become a Grand Duke;;;;;;;;;x
obj_become_regent_title;Become Regent;Devenir Régent;Become Regent;;Become Regent;;;;;;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.Liege.GetTitledFirstName].;[This.GetTitledFirstName] veult montrer sa loyauté et sa dévotion envers [This.TopLiege.GetTitledFirstName].;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.Liege.GetTitledFirstName].;;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.Liege.GetTitledFirstName].;;;;;;;;;x
obj_befriend_liege_title;Befriend [This.Liege.GetTitledFirstName];Estre ami avec [This.Liege.GetTitledFirstName];Freundschaft mit [This.Liege.GetTitledFirstName];;Befriend [This.Liege.GetTitledFirstName];;;;;;;;;x
obj_befriend_relhead_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.RelHead.GetTitledFirstName].;[This.GetTitledFirstName] veult montrer sa loyauté et sa dévotion envers [This.TopLiege.GetTitledFirstName].;[This.GetTitledFirstName] möchte [This.GetHerHis] Loyalität und Hingabe an [This.RelHead.GetTitledFirstName] zeigen.;;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.RelHead.GetTitledFirstName].;;;;;;;x
obj_befriend_relhead_title;Befriend [This.RelHead.GetTitledFirstName];Estre ami avec [This.RelHead.GetTitledFirstName];Freundschaft mit [This.RelHead.GetTitledFirstName];;Befriend [This.RelHead.GetTitledFirstName];;;;;;;x
obj_befriend_top_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.TopLiege.GetTitledFirstName].;[This.GetTitledFirstName] veult montrer sa loyauté et sa dévotion envers [This.TopLiege.GetTitledFirstName].;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.TopLiege.GetTitledFirstName].;;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.TopLiege.GetTitledFirstName].;;;;;;;x
obj_befriend_top_liege_title;Befriend [This.TopLiege.GetTitledFirstName];Estre ami avec [This.TopLiege.GetTitledFirstName];Freundschaft mit [This.TopLiege.GetTitledFirstName];;Befriend [This.TopLiege.GetTitledFirstName];;;;;;;x
obj_break_out_of_prison_desc;[This.GetTitledFirstName] wants [This.GetHerHis] freedom back.;[This.GetTitledFirstName] veult recouvrer sa liberté.;[This.GetTitledFirstName] will die Freiheit von [This.GetHerHis] zurück.;;[This.GetTitledFirstName] wants [This.GetHerHis] freedom back.;;;;;;;;x
obj_break_out_of_prison_title;Get Out of Prison;Sortir de geosle;Brecht aus dem Kerker aus!;;Get Out of Prison;;;;;;;;;x
obj_change_nick_desc;[This.GetTitledFirstName] doesn't like [This.GetHerHis] nickname and wants to remove it, even at the cost of some fame.;[This.GetTitledFirstName] n'aime point son surnom et souhaite en changer, mesme au coust d'un peu de renommée.;[This.GetTitledFirstName] doesn't like [This.GetHerHis] nickname and wants to remove it, even at the cost of some fame.;;[This.GetTitledFirstName] doesn't like [This.GetHerHis] nickname and wants to remove it, even at the cost of some fame.;;;;;;;;;x
obj_change_nick_title;Remove Nickname;Changer Surnom;Remove Nickname;;Remove Nickname;;;;;;;;;x
obj_church_career_desc;[This.GetTitledFirstName] wants to become a priest.;[This.GetTitledFirstName] veult devenir prestre.;[This.GetTitledFirstName] wants to become a priest.;;[This.GetTitledFirstName] wants to become a priest.;;;;;;;;;x
obj_church_career_title;Pursue Church Career;Se lancer dans une carrière d'homme d'Eglise;Pursue Church Career;;Pursue Church Career;;;;;;;;;x
obj_civilize_province_desc;[This.GetTitledFirstName] wants to convert a province in his realm to his culture.;[This.GetTitledFirstName] veult convertir une province de son royaume à sa culture.;[This.GetTitledFirstName] wants to convert a province in his realm to his culture.;;[This.GetTitledFirstName] wants to convert a province in his realm to his culture.;;;;;;;;;x
obj_civilize_province_title;Change a Province's Culture;Changer la Culture d'une Province;Change a Province's Culture;;Change a Province's Culture;;;;;;;;;x
obj_convert_a_province_desc;[This.GetTitledFirstName] wants to bring the true faith to the heathens of the realm.;[This.GetTitledFirstName] veult apporter la vrai foi aulx païens et mécréants du Royaume.;[This.GetTitledFirstName] will den wahren Glauben ins Reich bringen.;;[This.GetTitledFirstName] wants to bring the true faith to the heathens of the realm.;;;;;;;;;x
obj_convert_a_province_title;Convert a Province;Convertir une Province;Konvertieren Sie eine Provinz;;Convert a Province;;;;;;;;;x
obj_cta_0_desc;[This.GetTitledFirstName] has no education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] no ha sido educado en las artes marciales y quiere cambiar las cosas ganando experiencia en combate.;;;;;;;;;x
obj_cta_0_title;Develop Personal Combat Skills;;;;Desarrollar habilidades de combate;;;;;;;;;x
obj_cta_1_desc;[This.GetTitledFirstName] has a meager education in the art of personal combat and wants to change that through combat experience.;;;;[This.GetTitledFirstName] tiene escasa formación en las artes marciales y quiere mejorar ganando experiencia en combate.;;;;;;;;;x
obj_cta_1_title;Become a Trained Fighter;;;;Convertirse en luchador;;;;;;;;;x
obj_cta_2_desc;While [This.GetTitledFirstName] is already well-trained in personal combat, [This.GetSheHe]'d like to take [This.GetHerHis] skills to the next level through experience in the field.;;;;Aunque [This.GetTitledFirstName] está bien entrenado en las artes marciales, le gustaría alcanzar más nivel ganando experiencia en combate.;;;;;;;;;x
obj_cta_2_title;Become a Skilled Fighter;;;;Convertirse en luchador competente;;;;;;;;;x
obj_cta_3_desc;While many already consider [This.GetTitledFirstName] to be one of the more skilled fighters in the realm, [This.GetSheHe] desires true mastery of [This.GetHerHis] art, and no better way to attain such heights exists than through experience in the field.;;;;Aunque muchos consideran a [This.GetTitledFirstName] uno de los mejores luchadores del reino, a [This.GetSheHe] le gustaría llegar a ser un maestro en el arte de la guerra, y qué mejor modo que ganando experiencia en combate.;;;;;;;;;x
obj_cta_3_title;Become a Formidable Fighter;;;;Convertirse en luchador formidable;;;;;;;;;x
obj_druze_esoteric_learning_title;Study the Esoteric Secrets;Study the Esoteric Secrets;Study the Esoteric Secrets;;Study the Esoteric Secrets;;;;;;;;;x
obj_druze_esoteric_learning_desc;Not every Druze is permitted to learn the esoteric secrets of their faith. Those who do become uqqal, or initiates, and thus move onto a higher state of learning and respect within the Druze community. This sort of study is not something that will happen immediately, and only a small percentage of the Druze even attempt it.;Not every Druze is permitted to learn the esoteric secrets of their faith. Those who do become uqqal, or initiates, and thus move onto a higher state of learning and respect within the Druze community. This sort of study is not something that will happen immediately, and only a small percentage of the Druze even attempt it.;Not every Druze is permitted to learn the esoteric secrets of their faith. Those who do become uqqal, or initiates, and thus move onto a higher state of learning and respect within the Druze community. This sort of study is not something that will happen immediately, and only a small percentage of the Druze even attempt it.;;Not every Druze is permitted to learn the esoteric secrets of their faith. Those who do become uqqal, or initiates, and thus move onto a higher state of learning and respect within the Druze community. This sort of study is not something that will happen immediately, and only a small percentage of the Druze even attempt it.;;;;;;;;;x
obj_fifteen_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veult une grande famille et moults enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;x
obj_fifteen_children_title;Have Fifteen Children;Avoir quinze enfants;Bekommt fünfzehn Kinder;;Have Fifteen Children;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires romance and passion.;[This.GetTitledFirstName] veult de la romance et de la passion.;[This.GetTitledFirstName] wünscht sich die Romantik und die Leidenschaft einer Liebelei.;;[This.GetTitledFirstName] desires romance and passion.;;;;;;;;;x
obj_find_lover_title;Fall in Love;Tomber amoureux;Legt Euch einen Liebhaber zu;;Fall in Love;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veult une grande famille et moults enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;;;;;;;;x
obj_five_children_title;Have Five Children;Avoir cinq enfants;Bekommt fünf Kinder;;Have Five Children;;;;;;;;;x
obj_gain_estates_1_desc;[This.GetTitledFirstName] wants a landed estate to provide for [This.GetHerHim]self and [This.GetHerHis] family.;[This.GetTitledFirstName] veult un domaine terrien pour subvenir à ses besoins et à ceulx de sa famille.;[This.GetTitledFirstName] möchte einen Anwesen für [This.GetHerHim] selbst und [This.GetHerHis] Familie.;;[This.GetTitledFirstName] wants a landed estate to provide for [This.GetHerHim]self and [This.GetHerHis] family.;;;;;;;;;x
obj_gain_estates_1_title;Gain Estates;Gagner des domaines;Erhalte Anwesen;;Gain Estates;;;;;;;;;x
obj_gain_estates_2_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est point content de la taille de son domaine;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;;;;;;;;;x
obj_gain_estates_2_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;Increase Size of Estates;;;;;;;;;x
obj_gain_estates_3_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est point content de la taille de son domaine;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;;;;;;;;;x
obj_gain_estates_3_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;Increase Size of Estates;;;;;;;;;x
obj_gain_estates_4_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est point content de la taille de son domaine;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;;;;;;;;;x
obj_gain_estates_4_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;Increase Size of Estates;;;;;;;;;x
obj_gain_estates_5_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est point content de la taille de son domaine;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;;;;;;;;;x
obj_gain_estates_5_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;Increase Size of Estates;;;;;;;;;x
obj_gain_honorary_title_desc;[This.GetTitledFirstName] wants recognition for [This.GetHerHis] loyal service by being appointed to an honorary office.;[This.GetTitledFirstName] veult estre reconnu pour ses loyaulx services en recevant un titre honorifique.;[This.GetTitledFirstName] möchte ansehen für seinen treuen Dienst an [This.GetHerHis].;;[This.GetTitledFirstName] wants recognition for [This.GetHerHis] loyal service by being appointed to an honorary office.;;;;;;;;;x
obj_gain_honorary_title_title;Gain Honorary Title;Recevoir un Titre Honorifique;Gewinnen Sie Ehrentitel;;Gain Honorary Title;;;;;;;;;x
obj_get_nick_desc;[This.GetTitledFirstName] wants to be famous for something throughout the realm.;Gagner un Surnom;Earn a Nickname;;Earn a Nickname;;;;;;;;;x
obj_get_nick_title;Earn a Nickname;Gagner un Surnom;Earn a Nickname;;Earn a Nickname;;;;;;;;;x
obj_go_crusade_desc;[This.GetTitledFirstName] wants to join the Crusade against the infidels.;[This.GetTitledFirstName] veult rejoindre la Croisade contre les Infidèles.;[This.GetTitledFirstName] will sich dem Kreuzzug gegen die Ungläubigen anschließen.;;[This.GetTitledFirstName] wants to join the Crusade against the infidels.;;;;;;;;;x
obj_go_crusade_title;Take the Cross;Prendre la Croix;Nehmt das Kreuz;;Take the Cross;;;;;;;;;x
obj_go_jihad_desc;[This.GetTitledFirstName] wants to join the Jihad against the infidels.;[This.GetTitledFirstName] veult rejoindre le Djihad contre les Infidèles.;[This.GetTitledFirstName] will sich dem Jihad gegen die Ungläubigen anschließen.;;[This.GetTitledFirstName] wants to join the Jihad against the infidels.;;;;;;;;;x
obj_go_jihad_title;Join the Jihad;Rejoindre le Djihad;Am Jihad teilnehmen;;Join the Jihad;;;;;;;;;x
obj_great_council_desc;[This.GetTitledFirstName] wants to unite the greatest minds in the known world, and have them serve on [This.GetHerHis] council.;[This.GetTitledFirstName] veult réunir les plus grands esprits du monde connu, et les faire siéger à son Conseil.;[This.GetTitledFirstName] wants to unite the greatest minds in the known world, and have them serve on [This.GetHerHis] council.;;[This.GetTitledFirstName] wants to unite the greatest minds in the known world, and have them serve on [This.GetHerHis] council.;;;;;;;;;x
obj_great_council_title;Assemble a Great Council;Assembler un Grand Conseil;Assemble a Great Council;;Assemble a Great Council;;;;;;;;;x
obj_groom_an_heir_title;Groom Your Heir;Préparez votre succession;Einen Erben heranziehen;;Preparar un heredero;;;;;;;;;x
obj_groom_an_heir_desc;Now that [This.GetTitledFirstNameNoRegnal] has a child who is [This.GetHerHis] heir, it's up to [This.GetHerHim] to raise the child into an adult and see them prepared for their duties to come.;Now that [This.GetTitledFirstNameNoRegnal] has a child who is [This.GetHerHis] heir, it's up to [This.GetHerHim] to raise the child into an adult and see them prepared for their duties to come.;Now that [This.GetTitledFirstNameNoRegnal] has a child who is [This.GetHerHis] heir, it's up to [This.GetHerHim] to raise the child into an adult and see them prepared for their duties to come.;;Now that [This.GetTitledFirstNameNoRegnal] has a child who is [This.GetHerHis] heir, it's up to [This.GetHerHim] to raise the child into an adult and see them prepared for their duties to come.;;;;;;;;;x
obj_increase_demesne_1_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_1_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_2_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_2_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_3_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_3_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_4_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_4_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_5_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_6_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_6_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_7_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_7_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_8_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_8_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_9_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] n'est point satisfait de la taille de ses terres.;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;;;;;;;;;x
obj_increase_demesne_9_title;Increase Size of Demesne;Agrandir la taille du Domaine;Ländereien vergrößern;;Increase Size of Demesne;;;;;;;;;x
obj_increase_demesne_desc;[This.GetTitledFirstName] wants to increase the size of [This.GetHerHis] demesne;[This.GetTitledFirstName] souhaite agrandir la taille de son domaine;[This.GetTitledFirstName] wants to increase the size of [This.GetHerHis] demesne;;[This.GetTitledFirstName] wants to increase the size of [This.GetHerHis] demesne;;;;;;;;;x
obj_increase_demesne_title;Increase Demesne;Agrandir Domaine;Increase Demesne;;Increase Demesne;;;;;;;;;x
obj_known_for_virtue_desc;[This.GetTitledFirstName] seeks to become known for [This.GetHerHis] virtues.;[This.GetTitledFirstName] souhaite estre connu pour ses vertus.;[This.GetTitledFirstName] seeks to become known for [This.GetHerHis] virtues.;;[This.GetTitledFirstName] seeks to become known for [This.GetHerHis] virtues.;;;;;;;;;x
obj_known_for_virtue_title;Become Known for Virtue;Devenir Connu pour Vertu;Become Known for Virtue;;Become Known for Virtue;;;;;;;;;x
obj_lead_troops_desc;[This.GetTitledFirstName] wants to prove his worth on the battlefield.;[This.GetTitledFirstName] veult prouver sa valeur sur le champ de bastaille.;[This.GetTitledFirstName] wants to prove his worth on the battlefield.;;[This.GetTitledFirstName] wants to prove his worth on the battlefield.;;;;;;;;;x
obj_lead_troops_infidel_desc;[This.GetTitledFirstName] wants to face heathens in battle.;[This.GetTitledFirstName] veult affronter les païens au combat.;[This.GetTitledFirstName] wants to face heathens in battle.;;[This.GetTitledFirstName] wants to face heathens in battle.;;;;;;;;;x
obj_lead_troops_infidel_title;Show Bravery Against Infidels;Montrer sa Bravoure contre les Infidèles;Show Bravery Against Infidels;;Show Bravery Against Infidels;;;;;;;;;x
obj_lead_troops_muslim_desc;[This.GetTitledFirstName] wants to face heathens in battle.;[This.GetTitledFirstName] veult affronter les païens au combat.;[This.GetTitledFirstName] wants to face heathens in battle.;;[This.GetTitledFirstName] wants to face heathens in battle.;;;;;;;;;x
obj_lead_troops_muslim_title;Show Bravery Against Infidels;Montrer sa Bravoure contre les Infidèles;Show Bravery Against Infidels;;Show Bravery Against Infidels;;;;;;;;;x
obj_lead_troops_title;Show Bravery in Battle;Faire preuve de Bravoure au Combat;Show Bravery in Battle;;Show Bravery in Battle;;;;;;;;;x
obj_lower_decadence50_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
obj_lower_decadence50_title;Lower Dynastic Decadence;Diminuer la Décadence Dynastique;Lower Dynastic Decadence;;Lower Dynastic Decadence;;;;;;;;;x
obj_lower_decadence55_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
obj_lower_decadence55_title;Lower Dynastic Decadence;Diminuer la Décadence Dynastique;Lower Dynastic Decadence;;Lower Dynastic Decadence;;;;;;;;;x
obj_lower_decadence60_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
obj_lower_decadence60_title;Lower Dynastic Decadence;Diminuer la Décadence Dynastique;Lower Dynastic Decadence;;Lower Dynastic Decadence;;;;;;;;;x
obj_lower_decadence65_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
obj_lower_decadence65_title;Lower Dynastic Decadence;Diminuer la Décadence Dynastique;Lower Dynastic Decadence;;Lower Dynastic Decadence;;;;;;;;;x
obj_lower_decadence70_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
obj_lower_decadence70_title;Lower Dynastic Decadence;Diminuer la Décadence Dynastique;Lower Dynastic Decadence;;Lower Dynastic Decadence;;;;;;;;;x
obj_lower_decadence75_desc;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;[This.GetTitledFirstName] veult diminuer la décadence de sa dynastie;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;[This.GetTitledFirstName] wants to lower the decadence of [This.GetHerHis] dynasty;;;;;;;;;x
