#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1900;Anarchy at [Root.Capital.GetName];;Anarchie in [Root.Capital.GetName];;;x
EVTDESC_Plus_1959;A radical Muslim preacher and mystic, Fazlallah Astarabadi, has been spreading his kabbalistic Shia heresy all over [hurufi_province.GetName] and the surrounding provinces, drawing great crowds and many disciples. At first he was ignored as just another itinerant madman, but his secular power has grown enough that he can no longer be ignored. The question is now whether his doctrine has any merit to [Root.GetTitledFirstNameNoRegnal], the ruling [Root.PrimaryTitle.GetRulerTitle], or whether the heresy will be combated as any other.;;Fazlallah Astarabadi, ein radikaler muslimischer Prediger und Mystiker, hat seine kabbalistische schiitische Irrlehre in der ganzen [hurufi_province.GetName] und den umliegenden Provinzen verbreitet und dabei große Menschenmengen und viele Anhänger angezogen. Zunächst wurde er als ein weiterer umherziehender Verrückter ignoriert, aber seine weltliche Macht ist so groß geworden, dass er nicht mehr ignoriert werden kann. Die Frage ist nun, ob seine Lehre für [Root.GetTitledFirstNameNoRegnal], den herrschenden [Root.PrimaryTitle.GetRulerTitle], von Wert ist, oder ob die Ketzerei wie jede andere bekämpft werden wird.;;;x
EVTOPTA_Plus_1959;I believe his words ring of truth;;Ich glaube, in seinen Worten steckt Wahrheit;;;x
EVTOPTB_Plus_1959;This heresy must be stamped out!;;Diese Ketzerei muss ausgemerzt werden!;;;x
EVTOPTC_Plus_1959;He is a great Hurufi scholar;;Er ist ein großer Hurufi-Gelehrter;;;x
EVTOPTD_Plus_1959;Such a perversion of Allah's wisdom!;;Welch eine Perversion von Allahs Weisheit!;;;x
EVTDESC_Plus_1962_found;The schism at the heart of Islam dates back to its earliest days. The majority Sunnis have long persecuted the followers of Ali, the Shias, forcing them into hiding. The partisans of Ali look to his descendants for leadership, but they are forced to keep their ancestry secret. Now though, the Shias are mobilizing their strength behind a young man by the name of [shiite_revolter.GetFirstName] whom they claim to be Ali's rightful heir and Imam. Other Islamic jurists claim that the boy is clearly a fraud, but to his followers he is the one they have been waiting for and now they flock to his banner as he begins his crusade to wrest the [shiite_revolt_target_title.GetFullName] from the hands of [shiite_revolt_target.GetTitledFirstNameNoRegnal].;;Die Spaltung im Herzen des Islam reicht bis in seine frühesten Tage zurück. Die Mehrheit der Sunniten hat lange Zeit die Anhänger Alis, die Schiiten, verfolgt und sie gezwungen, sich zu verstecken. Die Anhänger Alis suchen die Führung bei seinen Nachkommen, die jedoch gezwungen sind, ihre Abstammung geheim zu halten. Nun aber mobilisieren die Schiiten ihre Kräfte hinter einem jungen Mann namens [shiite_revolter.GetFirstName], von dem sie behaupten, er sei Alis rechtmäßiger Erbe und Imam. Andere islamische Rechtsgelehrte behaupten, der Junge sei eindeutig ein Betrüger, aber für seine Anhänger ist er derjenige, auf den sie gewartet haben, und nun scharen sie sich unter seinem Banner, während er seinen Kreuzzug beginnt, um den [shiite_revolt_target_title.GetFullName] aus den Händen von [shiite_revolt_target.GetTitledFirstNameNoRegnal] zu entreißen.;;;x
EVTDESC_Plus_1962_abdicate;The schism at the heart of Islam dates back to its earliest days. The majority Sunnis have long persecuted the followers of Ali, the Shias, forcing them into hiding. The partisans of Ali look to his descendants for leadership, but they are forced to keep their ancestry secret. Now, however, the Shias are mobilizing their strength behind Imam [shiite_revolter.GetFirstName] -- descendant of Muhummad through his daughter, Fatimah, who has abdicated his title as the [abdicated_title.GetRulerTitle] of [abdicated_title.GetName] in order to lead his faithful against [shiite_revolt_target.GetTitledFirstNameNoRegnal] for control over the [shiite_revolt_target_title.GetFullName].;;Die Spaltung im Herzen des Islam reicht bis in seine frühesten Tage zurück. Die Mehrheit der Sunniten hat die Anhänger Alis, die Schiiten, lange Zeit verfolgt und sie gezwungen, sich zu verstecken. Die Anhänger Alis suchen die Führung bei seinen Nachkommen, die jedoch gezwungen sind, ihre Abstammung geheim zu halten. Jetzt jedoch mobilisieren die Schiiten ihre Kräfte hinter Imam [shiite_revolter.GetFirstName] - Nachkomme von Muhummad durch seine Tochter Fatimah, der auf seinen Titel als [abdicated_title.GetRulerTitle] von [abdicated_title.GetName] aufgegeben hat, um seine Gläubigen gegen [shiite_revolt_target.GetTitledFirstNameNoRegnal] um die Kontrolle über die [shiite_revolt_target_title.GetFullName] zu führen.;;;x
EVTDESC_Plus_1962;The schism at the heart of Islam dates back to its earliest days. The majority Sunnis have long persecuted the followers of Ali, the Shias, forcing them into hiding. The partisans of Ali look to his descendants for leadership, but they are forced to keep their ancestry secret. Now, however, the Shias are mobilizing their strength behind Imam [shiite_revolter.GetFirstName] -- descendant of Muhummad through his daughter, Fatimah, who has surfaced from relative obscurity to lead his faithful against [shiite_revolt_target.GetTitledFirstNameNoRegnal] for control over the [shiite_revolt_target_title.GetFullName].;;Die Spaltung im Herzen des Islam reicht bis in seine frühesten Tage zurück. Die Mehrheit der Sunniten hat die Anhänger Alis, die Schiiten, lange Zeit verfolgt und sie gezwungen, sich zu verstecken. Die Anhänger Alis suchen die Führung bei seinen Nachkommen, die jedoch gezwungen sind, ihre Abstammung geheim zu halten. Jetzt jedoch mobilisieren die Schiiten ihre Kräfte hinter Imam [shiite_revolter.GetFirstName] - Nachkomme von Muhummad durch seine Tochter Fatimah, der aus der relativen Unbekanntheit aufgetaucht ist, um seine Gläubigen gegen [shiite_revolt_target.GetTitledFirstNameNoRegnal] um die Kontrolle über die [shiite_revolt_target_title.GetFullName] zu führen.;;;x
EVTDESC_Plus_1963;With your assumption of the Shiite caliphate, Shiite faithful from across many realms have flocked to [Root.Capital.GetName] to fight under your banner. They believe that you will lead them to greatness, and that the might of the [Root.PrimaryTitle.GetFullName] will not be ignored by any in the Muslim world.;;Mit Eurer Übernahme des schiitischen Kalifats sind schiitische Gläubige aus vielen Reichen nach [Root.Capital.GetName] geströmt, um unter Eurem Banner zu kämpfen. Sie glauben, dass Ihr sie zu Größe führen werdet und dass die Macht der [Root.PrimaryTitle.GetFullName] von niemandem in der muslimischen Welt ignoriert werden wird.;;;x
EVTDESC_Plus_1965;Your actions have proven you worthy of deeper initiation into the secret rites of the Druze. It is considered a great honor to join this elite group of religious leaders.;;Deine Taten haben bewiesen, dass du einer tieferen Einweihung in die geheimen Riten der Drusen würdig bist. Es wird als große Ehre angesehen, in diese Elitegruppe religiöser Führer aufgenommen zu werden.;;;x
EVTOPTA_Plus_1965;I have been waiting for this!;;Darauf habe ich gewartet!;;;x
EVTOPTB_Plus_1965;I am not interested;;Ich bin nicht interessiert;;;x
EVTNAME_Plus_1966;Oath of al-'Ahd;;Eid von al-'Ahd;;;x
EVTDESC_Plus_1966;'I, [Root.GetTitledFirstNameNoRegnal], being sane of spirit and body and duly qualified, attest on my soul, without compulsion or constraint, that I renounce all the different cults, religions, and creeds and acknowledge nothing other than obedience to our Lord al-Hakim, revered be his name, and obedience is worship;;Ich, [Root.GetTitledFirstNameNoRegnal], der ich geistig und körperlich gesund und ordnungsgemäß qualifiziert bin, schwöre bei meiner Seele, ohne Zwang oder Zwang, dass ich allen verschiedenen Kulten, Religionen und Glaubensbekenntnissen abschwöre und nichts anderes anerkenne als den Gehorsam gegenüber unserem Herrn al-Hakim, verehrt sei sein Name, und Gehorsam ist Anbetung;;;x
EVTOPTA_Plus_1966;In al-Hakim's name, I am ready;;In al-Hakims Namen bin ich bereit;;;x
EVTDESC_Plus_1967;Only the truest and most brilliant of the Uqqal become Ajawid, the highest religious authorities of the Druze religion. Other Ajawid have sat in judgment of your abilities, and have found you duly worthy of joining them in discovering the Truth within the Hidden.;;Nur die treuesten und brillantesten der Uqqal werden Ajawid, die höchsten religiösen Autoritäten der drusischen Religion. Andere Ajawid haben über deine Fähigkeiten geurteilt und dich für würdig befunden, dich ihnen bei der Entdeckung der Wahrheit im Verborgenen anzuschließen.;;;x
EVTOPTA_Plus_1967;I take such a burden with the gravity it is due;;Ich nehme eine solche Bürde mit dem gebührenden Ernst.;;;x
EVTNAME_Plus_1968;Rise of the Shaykh;;Der Aufstieg des Shaykh;;;x
EVTDESC_Plus_1968;With the ascendance of [Root.GetTitledName] to the rank of Shaykh, the Druze have been given an unprecedented spokes[Root.GetManWoman]. They are no longer the small and oft-maligned group of heretics, but a force that has arrived on the world stage of equal worth to the religions around them. Indeed, they are not truly a Muslim sect, and do not consider themselves such, and with [Root.GetTitledFirstNameNoRegnal] at their head they are now considered a faith in their own right.;;Mit dem Aufstieg von [Root.GetTitledName] in den Rang eines Shaykh haben die Drusen eine noch nie dagewesene Stimme erhalten. Sie sind nicht mehr die kleine und oft verleumdete Gruppe von Ketzern, sondern eine Kraft, die auf der Weltbühne angekommen ist und den Religionen um sie herum gleichwertig ist. In der Tat sind sie keine echte muslimische Sekte und betrachten sich auch nicht als solche, und mit [Root.GetTitledFirstNameNoRegnal] an ihrer Spitze werden sie nun als eigenständiger Glaube betrachtet.;;;x
EVTOPTA_Plus_1968;A truly glorious day;;Ein wahrhaft glorreicher Tag;;;x
EVTOPTB_Plus_1968;They are still heretics in the eyes of Allah;;In den Augen Allahs sind sie immer noch Ketzer.;;;x
EVTOPTC_Plus_1968;Another Muslim schism? Hardly a surprise;;Eine weitere muslimische Spaltung? Kaum eine Überraschung;;;x
